edition_1,title_1,authors_1,imprint_place_1,imprint_year_1,imprint_publisher_1,edition_status_1,notes_1,edition_2,title_2,authors_2,imprint_place_2,imprint_year_2,imprint_publisher_2,edition_status_2,notes_2,osa,cos
nbk0015617,Sermons de Massillon,"Massillon, Jean-Baptiste (Primary)","","","",Pseudo,Edition not located. The number of volumes updated after Worldcat [OCLC 461365421].,nbk0012198,Sermons de Massillon,"Massillon, Jean-Baptiste (Primary)","","","",Pseudo,Pirate edition. Edition details as in source data.  Source data only gives title.,1,1
nbk0014265,Histoire moderne,,"","","",Pseudo,Superbook and edition not identified. All information after source data.,nbk0012201,Histoire moderne,,"","","",Pseudo,Pirate edition. Edition details as in source data.  Source data only gives title.,1,1
nbk0014727,Jerusalem delivrée,"Tasso, Torquato (Primary)",Londres,"","",Pseudo,Edition as in source data.,nbk0012209,Jerusalem delivrée,"Tasso, Torquato (Primary)","","","",Pseudo,Pirate edition. Edition details as in source data.  Source data only gives title.,1,1
nbk0016433,Jerusalem delivrée,"Tasso, Torquato (Primary)","","","",Pseudo,Edition not identified. All information after source data.,nbk0012209,Jerusalem delivrée,"Tasso, Torquato (Primary)","","","",Pseudo,Pirate edition. Edition details as in source data.  Source data only gives title.,1,1
nbk0018162,Jerusalem delivrée,"Tasso, Torquato (Primary)","","","",Pseudo,Edition not identified. The number of volumes updated for purposes of calculation.,nbk0012209,Jerusalem delivrée,"Tasso, Torquato (Primary)","","","",Pseudo,Pirate edition. Edition details as in source data.  Source data only gives title.,1,1
nbk0013279,Office divin,,Avignon,"",Louis Chambeau,Pseudo,Pirate edition. Edition details as in source data.  May be a false imprint.  Source data does not give date of publication.  Publisher status: Imprimeur Libraire.,nbk0012210,Office divin,,"","","",Pseudo,Pirate edition. Edition details as in source data.  Source data only gives title.,1,1
nbk0017809,Grammaire de Restaut,"Restaut, Pierre (Primary)","","","",Pseudo,Edition not identified. All information after Source data.,nbk0012211,Grammaire de Restaut,"Restaut, Pierre (Primary)","","","",Pseudo,Pirate edition. Edition details as in source data.  Source data only gives title.,1,1
nbk0016051,Crebillon,,"","","",Pseudo,Superbook and edition not identified. All information after source data.,nbk0012216,Crebillon,,"","","",Pseudo,Pirate edition. Edition details as in source data.  Source data only gives title.,1,1
nbk0017727,Crebillon,,"","","",Pseudo,Edition not identified. All information after source data.,nbk0012216,Crebillon,,"","","",Pseudo,Pirate edition. Edition details as in source data.  Source data only gives title.,1,1
nbk0015636,Pensées de Bourdaloue,"Bourdaloue, Louis (Primary)","","","",Pseudo,Edition not located. The number of volumes updated for calculation purposes.,nbk0012218,Pensées de Bourdaloue,"Bourdaloue, Louis (Primary)","","","",Pseudo,Pirate edition. Edition details as in source data.  Source data only gives title.,1,1
nbk0015067,Parfait marechal de Garsault,"Garsault, François Alexandre Pierre de (Primary)","","","",Pseudo,Edition not identified. All information after source data.,nbk0012229,Parfait marechal de Garsault,"Garsault, François Alexandre Pierre de (Primary)","","","",Pseudo,Pirate edition. Edition details as in source data. Source data does not provide publication details.,1,1
nbk0017611,Receuil de Bretonnier,Bretonnier (Primary),"","","",Pseudo,The title updated after Worldcat.,nbk0012250,Receuil de Bretonnier,Bretonnier (Primary),"","","",Pseudo,Pirate edition. Edition details as in source data. Source data does not provide publication details.,1,1
nbk0017650,Graduel Romain,,"","","",Pseudo,Edition not identified.,nbk0012262,Graduel Romain,,"","","",Pseudo,Pirate edition. Edition details as in source data.  Source data does not provide publication details.,1,1
nbk0012516,Ange conducteur,,"","","",Pseudo,Pirate edition. Edition details as in source data.  Source data only gives short title.,nbk0012268,Ange conducteur,,"","","",Pseudo,Pirate edition. Edition details as in source data.  Source data does not provide publication details.,1,1
nbk0017911,Cours d'etude par M. l'abbé de Condillac,"Condillac, Etienne Bonnot [de] (Primary)","","","",Pseudo,Edition details as in source data.,nbk0012276,Cours d'etude par M. l'abbé de Condillac,"Condillac, Etienne Bonnot [de] (Primary)","","","",Pseudo,Pirate edition. Edition details as in source data. Source data does not provide publication details.,1,1
nbk0014191,Oeuvres de Voltaire,,"","","",Pseudo,Superbook and edition not identified. All information after source data.,nbk0012277,Oeuvres de Voltaire,,"","","",Pseudo,Pirate edition. Edition details as in source data.  Source data does not provide publication details.,1,1
nbk0014817,Oeuvres de Voltaire,,"","","",Pseudo,Superbook and edition not identified. All information after source data.,nbk0012277,Oeuvres de Voltaire,,"","","",Pseudo,Pirate edition. Edition details as in source data.  Source data does not provide publication details.,1,1
nbk0018115,Oeuvres de Voltaire,,"","","",Pseudo,Edition not identified. The number of volumes updated after Worldcat.,nbk0012277,Oeuvres de Voltaire,,"","","",Pseudo,Pirate edition. Edition details as in source data.  Source data does not provide publication details.,1,1
nbk0014876,Dictionnaire de chirurgie,,"","","",Pseudo,Superbook and edition not identified. All information after source data.,nbk0012285,Dictionnaire de chirurgie,,"","","",Pseudo,Pirate edition. Edition details as in source data. Source data does not provide publication details.,1,1
nbk0017143,Le deisme refuté par luy même de Bergier,"Bergier, Nicolas-Sylvestre (Primary)","","","",Pseudo,The title and author updated after Worldcat [OCLC 	6849224].,nbk0012290,Le deisme refuté par luy même de Bergier,"Bergier, Nicolas-Sylvestre (Primary)","","","",Pseudo,Pirate edition. Edition details as in source data. Source data does not provide publication details.,1,1
nbk0016401,Geographie moderne,"Lacroix, Louis-Antoine Nicolle [de] (Primary)","","","",Pseudo,The title updated after Worldcat [OCLC819175170].,nbk0012292,Geographie moderne,,"","","",Pseudo,Pirate edition. Edition details as in source data. Source data does not provide publication details.,1,1
nbk0018110,Manuel des pasteurs par M. l'abbé Dinouart,"Dinouart, Joseph-Antoine-Toussaint (Primary)","","","",Pseudo,Edition not identified. The title and author updated after Worldcat.,nbk0012348,Manuel des pasteurs par M. l'abbé Dinouart,"Dinouart, Joseph-Antoine-Toussaint (Primary)","","","",Pseudo,Pirate edition. Edition details as in source data.  Source data does not provide publication details.,1,1
nbk0016354,Fastes (les) de la Grande-Bretagne,"Contant d'Orville, André-Guillaume (Primary)","","","",Pseudo,Edition not located as source data says 'Brochures'.,nbk0012378,Fastes (les) de la Grande-Bretagne,"Contant d'Orville, André-Guillaume (Primary)",Paris,"",Costard,Pseudo,Pirate edition. Edition details as in source data.  May be a false imprint.  Claims to be published ‘avec approbation et privilege du roi’.,1,1
nbk0018430,Fastes (les) de la Grande-Bretagne,"Contant d'Orville, André-Guillaume (Primary)","","","",Pseudo,"",nbk0012378,Fastes (les) de la Grande-Bretagne,"Contant d'Orville, André-Guillaume (Primary)",Paris,"",Costard,Pseudo,Pirate edition. Edition details as in source data.  May be a false imprint.  Claims to be published ‘avec approbation et privilege du roi’.,1,1
nbk0012514,Epitres Evangiles,[Bible] (Primary),"","","",Pseudo,Pirate edition. Edition details as in source data.  Source data only gives short title.,nbk0012435,Epitres Evangiles,[Bible] (Primary),Paris,"",Vve Desaint,Pseudo,"Pirate edition. Edition details as in source data.  May be a false imprint.  Claims to be published ‘avec approbation et privilege du roy’.  Source data does not give year of publication, format or no. of vols.",1,1
nbk0014049,Epitres Evangiles,,"","","",Pseudo,Superbook and edition not identified. All information after source data.,nbk0012435,Epitres Evangiles,[Bible] (Primary),Paris,"",Vve Desaint,Pseudo,"Pirate edition. Edition details as in source data.  May be a false imprint.  Claims to be published ‘avec approbation et privilege du roy’.  Source data does not give year of publication, format or no. of vols.",1,1
nbk0014065,Epitres Evangiles,[Bible] (Primary),"","","",Pseudo,Superbook and edition not identified. All information after source data.,nbk0012435,Epitres Evangiles,[Bible] (Primary),Paris,"",Vve Desaint,Pseudo,"Pirate edition. Edition details as in source data.  May be a false imprint.  Claims to be published ‘avec approbation et privilege du roy’.  Source data does not give year of publication, format or no. of vols.",1,1
nbk0016256,Epitres Evangiles,[Bible] (Primary),"","","",Pseudo,Superbook and edition not identified. All information after source data.,nbk0012435,Epitres Evangiles,[Bible] (Primary),Paris,"",Vve Desaint,Pseudo,"Pirate edition. Edition details as in source data.  May be a false imprint.  Claims to be published ‘avec approbation et privilege du roy’.  Source data does not give year of publication, format or no. of vols.",1,1
nbk0016542,Epitres Evangiles,[Bible] (Primary),"","","",Pseudo,Superbook and edition not identified. All information after source data.,nbk0012435,Epitres Evangiles,[Bible] (Primary),Paris,"",Vve Desaint,Pseudo,"Pirate edition. Edition details as in source data.  May be a false imprint.  Claims to be published ‘avec approbation et privilege du roy’.  Source data does not give year of publication, format or no. of vols.",1,1
nbk0012497,Albert (l') moderne,"Alletz, Pons Augustin (Primary)","","","",Pseudo,Pirate edition. Edition details as in source data.  Source data only gives short title.,nbk0012457,Albert (l') moderne,"Alletz, Pons Augustin (Primary)",Paris,"",Vve Duchesne,Pseudo,"Pirate edition. Edition details as in source data.  May be a false imprint.  Publisher status: Libraire.  Source data does not give date of publication, format or no. of vols.",1,1
nbk0016747,Agronome (l'),"Alletz, Pons Augustin (Primary)","","","",Pseudo,The author updated after Worldcat [OCLC 311562096].,nbk0012495,Agronome (l'),"Alletz, Pons Augustin (Primary)","","","",Pseudo,Pirate edition. Edition details as in source data. Source data only gives short title.,1,1
nbk0014049,Epitres Evangiles,,"","","",Pseudo,Superbook and edition not identified. All information after source data.,nbk0012514,Epitres Evangiles,[Bible] (Primary),"","","",Pseudo,Pirate edition. Edition details as in source data.  Source data only gives short title.,1,1
nbk0014065,Epitres Evangiles,[Bible] (Primary),"","","",Pseudo,Superbook and edition not identified. All information after source data.,nbk0012514,Epitres Evangiles,[Bible] (Primary),"","","",Pseudo,Pirate edition. Edition details as in source data.  Source data only gives short title.,1,1
