agent_1	name_1	title_and_desig_1	notes_1	professions_1	author_of_1	addresses_1	agent_2	name_2	title_and_desig_2	notes_2	professions_2	author_of_2	addresses_2	osa	cos	identical
id000323	Robert	 / 	Letter 20/10/1783 is from Robert fils.			BESANCON	id000153	Robert	 / 		maire		BAR-le-DUC	1	1	
id000376	Robert	 / 		libraire			id000153	Robert	 / 		maire		BAR-le-DUC	1	1	
id000377	Robert	 / 		libraire; papetier			id000153	Robert	 / 		maire		BAR-le-DUC	1	1	
id000483	Robert	 / 				"CHAUX-de-FONDS, La"	id000153	Robert	 / 		maire		BAR-le-DUC	1	1	
id000486	Robert	 / fils		commissionnaire			id000153	Robert	 / 		maire		BAR-le-DUC	1	1	
id001921	Robert	 / 					id000153	Robert	 / 		maire		BAR-le-DUC	1	1	
id001922	Robert	 / 					id000153	Robert	 / 		maire		BAR-le-DUC	1	1	
id003215	Robert	 / 	Client location after transactions data.			BOLOGNE	id000153	Robert	 / 		maire		BAR-le-DUC	1	1	
id003223	Robert	 / 				"CHAUX-de-FONDS, La"	id000153	Robert	 / 		maire		BAR-le-DUC	1	1	
id008607	Gaudet	Mr. / 	"Gaudet in customs register, cf Godet in confiscation register."				id000166	Gaudet	 / 		libraire		BEAUVAIS	1	1	
id000169	Michel	 / fils		négociant			id000168	Michel	 / père		négociant			1	1	
id000438	Michel	 / 	Additional document - 1 'prospectus'.	libraire; négociant en vins		SÈTE	id000168	Michel	 / père		négociant			1	1	
id001634	Michel	 / 		libraire; relieur		NYON	id000168	Michel	 / père		négociant			1	1	
id007765	Michel	 / 		libraire		NANCY	id000168	Michel	 / père		négociant			1	1	
id000438	Michel	 / 	Additional document - 1 'prospectus'.	libraire; négociant en vins		SÈTE	id000169	Michel	 / fils		négociant			1	1	
id001634	Michel	 / 		libraire; relieur		NYON	id000169	Michel	 / fils		négociant			1	1	
id007765	Michel	 / 		libraire		NANCY	id000169	Michel	 / fils		négociant			1	1	
id000374	Gauthier	 / 		libraire			id000174	Gauthier	 / 	MS1100 letters (CLC1 & CLC2) are to Gauthier & Vernarel in Bourg-en-Bresse.	libraire		BOURG-en-BRESSE	1	1	
id000378	Gauthier	 / 		libraire; papetier			id000174	Gauthier	 / 	MS1100 letters (CLC1 & CLC2) are to Gauthier & Vernarel in Bourg-en-Bresse.	libraire		BOURG-en-BRESSE	1	1	
id000323	Robert	 / 	Letter 20/10/1783 is from Robert fils.			BESANCON	id000176	Robert	 / 		libraire			1	1	
id000376	Robert	 / 		libraire			id000176	Robert	 / 		libraire			1	1	
id000377	Robert	 / 		libraire; papetier			id000176	Robert	 / 		libraire			1	1	
id000483	Robert	 / 				"CHAUX-de-FONDS, La"	id000176	Robert	 / 		libraire			1	1	
id000486	Robert	 / fils		commissionnaire			id000176	Robert	 / 		libraire			1	1	
id001921	Robert	 / 					id000176	Robert	 / 		libraire			1	1	
id001922	Robert	 / 					id000176	Robert	 / 		libraire			1	1	
id003215	Robert	 / 	Client location after transactions data.			BOLOGNE	id000176	Robert	 / 		libraire			1	1	
id003223	Robert	 / 				"CHAUX-de-FONDS, La"	id000176	Robert	 / 		libraire			1	1	
id002343	"Amedroz, Abraham"	 / 		maréchal de camp			id000177	"Amedroz, Abraham"	 / 	"Maréchal de camp, au service de France  Possibly same person as Amédroz le jeune (qv.)."	maréchal de camp		VERDUN	1	1	
id000307	Girard	 / 	Stock Sales Notes: no christian me in STN data	libraire; relieur		BESANCON	id000191	Girard	 / 				BERLIN	1	1	
id001263	Girard	 / 		commissionnaire			id000191	Girard	 / 				BERLIN	1	1	
id003028	Girard	 / 		pasteur		HANAU	id000191	Girard	 / 				BERLIN	1	1	
id003291	Girard	 / 		auteur	"Petits (les) prones ou instructions familieres principalement pour les peuples de la Campagne par M. Girard ancien curé de S. (Bruxelles, Bruxelles)"		id000191	Girard	 / 				BERLIN	1	1	
id008068	Girard	 / 	Listed as retired in 1781 Almanach de la Librairie.	libraire		PARIS	id000191	Girard	 / 				BERLIN	1	1	
id000204	Voss	 / fils	Additional document - 1 printed 'circulaire' 20/03/1787.	imprimeur; libraire		BERLIN	id000203	Voss	 / 	Additional document - 1 printed 'circulaire' 20/03/1787.	imprimeur; libraire		BERLIN	1	1	
id000420	Bertrand	 / 		libraire			id000210	Bertrand	 / 		fabricant d'indiennes		BERNE	1	1	
id000715	Bertrand	 / 		commissionnaire			id000210	Bertrand	 / 		fabricant d'indiennes		BERNE	1	1	
id001062	Bertrand	 / Vve		libraire			id000210	Bertrand	 / 		fabricant d'indiennes		BERNE	1	1	
id001063	Bertrand	 / fils		libraire			id000210	Bertrand	 / 		fabricant d'indiennes		BERNE	1	1	
id002238	Bertrand	 / 		libraire		THIONVILLE	id000210	Bertrand	 / 		fabricant d'indiennes		BERNE	1	1	
id002418	Bertrand	 / fils		négociant		YVERDON	id000210	Bertrand	 / 		fabricant d'indiennes		BERNE	1	1	
id002518	Bertrand	 / 		fabricant d'indiennes		BERNE	id000210	Bertrand	 / 		fabricant d'indiennes		BERNE	1	1	
id002971	Bertrand	Mme / 				PARIS	id000210	Bertrand	 / 		fabricant d'indiennes		BERNE	1	1	
id003106	Bertrand	 / 		libraire			id000210	Bertrand	 / 		fabricant d'indiennes		BERNE	1	1	
id001760	Haller	 / 		banquier			id000235	Haller	 / 				BERNE	1	1	
id000271	Sylvett	 / 		négociant		BERNE	id000240	Sylvett	 / 		banquier			1	1	
id001484	Roland	 / fils		imprimeur; libraire			id000259	Roland	 / 		littérateur		BERNE	1	1	
id009421	Roland	 / 					id000259	Roland	 / 		littérateur		BERNE	1	1	
id000490	Rosselet	 / 				"CHAUX-de-FONDS, La"	id000262	Rosselet	Dr / le jeune		docteur en droit		BERNE	1	1	
id002349	Rosselet	 / 		négociant			id000262	Rosselet	Dr / le jeune		docteur en droit		BERNE	1	1	
id008982	Sergent	M. / 					id000266	Sergent	 / 		taille-doucier		BERNE	1	1	
id000286	Amet	 / fils		négociant			id000285	Amet	 / 		négociant			1	1	
id001580	Arnaud	 / 		typographe		NEUFCHATEAU	id000287	Arnaud	 / 		maître de musique		BESANCON	1	1	
id002417	Arnaud	 / 	"MS1000a lists as a 'typographe', BPUN card index as an 'imprimeur'."	typographe		YVERDON	id000287	Arnaud	 / 		maître de musique		BESANCON	1	1	
id000757	Borel	 / Vve				GENÈVE	id000291	Borel	 / 		typographe		BESANCON	1	1	
id001496	Borel	 / 		papetier			id000291	Borel	 / 		typographe		BESANCON	1	1	
id002348	Borel	 / 		négociant			id000291	Borel	 / 		typographe		BESANCON	1	1	
id002519	Borel	 / 	Additional documents - 2 'factures a.s.' 19/11/1774 & 15/06/1776.	tailleur		Neuchâtel	id000291	Borel	 / 		typographe		BESANCON	1	1	
id002764	Borel	 / 		receveur		COLOMBIER	id000291	Borel	 / 		typographe		BESANCON	1	1	
id003115	Borel	 / 		ministre [religion]			id000291	Borel	 / 		typographe		BESANCON	1	1	
id008348	Borel	M. / 	Borel signature checked: all signatures relate to same person				id000291	Borel	 / 		typographe		BESANCON	1	1	
id002523	Charmet	 / Vve	Stock Sales Notes: no christian me in STN data. Identified as printer there.	imprimeur; libraire; papetier		BESANCON	id000294	Charmet	 / 	Stock Sales Notes: no christian me in STN data. Identified as printer there.	imprimeur; libraire; papetier		BESANCON	1	1	
id009602	Devaux	 / 	name as in signature				id000297	Devaux	 / 		conseiller [droit]		BESANCON	1	1	
id001936	Faivre	 / 	"Additional documents - 1 undated 'billet'. See also dossier Mesmay de, procureur. Permission simple notes: Listed as bookseller in 1781 in the Almanach de la Librairie; serves as client and forwarding agent (passeur) for the Societes typographiques de Neuchatel and Lausanne. Mellot et al. date his involvement in the book trade from c. 1777-c.1823, and designate him a printer-bookseller, but no dates of reception under ancien regime, so probably only took that role in revolution."	libraire		PONTARLIER	id000301	Faivre	 / 		procureur		BESANCON	1	1	
id002538	Fantet	 / 		relieur			id000303	Fantet	 / 		libraire		BESANCON	1	1	
id007580	Fantet	 / 				PONTARLIER	id000303	Fantet	 / 		libraire		BESANCON	1	1	
id001263	Girard	 / 		commissionnaire			id000307	Girard	 / 	Stock Sales Notes: no christian me in STN data	libraire; relieur		BESANCON	1	1	
id003028	Girard	 / 		pasteur		HANAU	id000307	Girard	 / 	Stock Sales Notes: no christian me in STN data	libraire; relieur		BESANCON	1	1	
id003291	Girard	 / 		auteur	"Petits (les) prones ou instructions familieres principalement pour les peuples de la Campagne par M. Girard ancien curé de S. (Bruxelles, Bruxelles)"		id000307	Girard	 / 	Stock Sales Notes: no christian me in STN data	libraire; relieur		BESANCON	1	1	
id008068	Girard	 / 	Listed as retired in 1781 Almanach de la Librairie.	libraire		PARIS	id000307	Girard	 / 	Stock Sales Notes: no christian me in STN data	libraire; relieur		BESANCON	1	1	
id002676	Monnier	 / 	'Avocat au Parlement'.	avocat			id000312	Monnier	 / 		papetier		BESANCON	1	1	
id007623	Monnier	 / 				BESANCON	id000312	Monnier	 / 		papetier		BESANCON	1	1	
id002575	Pellier	 / l'aîné		papetier			id000316	Pellier	 / 		commissionnaire			1	1	
id000321	Renaud	 / 		commissionnaire			id000320	Renaud	 / 		marchand chapelier		BESANCON	1	1	
id002752	Renaud	 / Mme		tanneur		PONTARLIER	id000320	Renaud	 / 		marchand chapelier		BESANCON	1	1	
id003225	Renaud	 / 					id000320	Renaud	 / 		marchand chapelier		BESANCON	1	1	
id009406	Renaud	 / 					id000320	Renaud	 / 		marchand chapelier		BESANCON	1	1	
id002752	Renaud	 / Mme		tanneur		PONTARLIER	id000321	Renaud	 / 		commissionnaire			1	1	
id003225	Renaud	 / 					id000321	Renaud	 / 		commissionnaire			1	1	
id009406	Renaud	 / 					id000321	Renaud	 / 		commissionnaire			1	1	
id000376	Robert	 / 		libraire			id000323	Robert	 / 	Letter 20/10/1783 is from Robert fils.			BESANCON	1	1	
id000377	Robert	 / 		libraire; papetier			id000323	Robert	 / 	Letter 20/10/1783 is from Robert fils.			BESANCON	1	1	
id000483	Robert	 / 				"CHAUX-de-FONDS, La"	id000323	Robert	 / 	Letter 20/10/1783 is from Robert fils.			BESANCON	1	1	
id000486	Robert	 / fils		commissionnaire			id000323	Robert	 / 	Letter 20/10/1783 is from Robert fils.			BESANCON	1	1	
id001921	Robert	 / 					id000323	Robert	 / 	Letter 20/10/1783 is from Robert fils.			BESANCON	1	1	
id001922	Robert	 / 					id000323	Robert	 / 	Letter 20/10/1783 is from Robert fils.			BESANCON	1	1	
id003215	Robert	 / 	Client location after transactions data.			BOLOGNE	id000323	Robert	 / 	Letter 20/10/1783 is from Robert fils.			BESANCON	1	1	
id003223	Robert	 / 				"CHAUX-de-FONDS, La"	id000323	Robert	 / 	Letter 20/10/1783 is from Robert fils.			BESANCON	1	1	
id002311	Henry	 / fils		imprimeur		VALENCIENNES	id000330	Henry	 / 		maire		BEVAIX	1	1	
id002993	Henry	 / 				POLIGNY	id000330	Henry	 / 		maire		BEVAIX	1	1	
id008089	Henry	 / 	"Not identified. Listed in invitees list of 1783 Cossard stock sale.  Due to context, has been assumed to be a Libraire."	libraire		PARIS	id000330	Henry	 / 		maire		BEVAIX	1	1	
id002804	Albert	 / 		libraire			id000332	Albert	 / 		négociant		BIENNE	1	1	
id003005	Albert	 / 				LAUSANNE	id000332	Albert	 / 		négociant		BIENNE	1	1	
id007638	Albert	 / 				AVALLON	id000332	Albert	 / 		négociant		BIENNE	1	1	
id002553	Lair	 / Vve	From 1782 Veuve Lair.  Sometimes written as Laïs de Blois.			BLOIS	id000351	Lair	 / 	From 1782 Veuve Lair.  Sometimes written as Laïs de Blois.	courtier; libraire; maître de pension		BLOIS	1	1	
id002823	"Guibert, Joseph"	 / 	Listed as separate from Joseph Guibert of Bologne in MS1102.			MARSEILLE	id000355	"Guibert, Joseph"	 / 	MS1102 lists him as a bookseller.	commissionnaire; libraire		BOLOGNE	1	1	
id000360	Chappuis	 / 		libraire			id000359	Chappuis	 / 		libraire			1	1	
id000774	Chappuis	 / fils		papetier			id000359	Chappuis	 / 		libraire			1	1	
id000775	Chappuis	 / 		libraire			id000359	Chappuis	 / 		libraire			1	1	
id000774	Chappuis	 / fils		papetier			id000360	Chappuis	 / 		libraire			1	1	
id000775	Chappuis	 / 		libraire			id000360	Chappuis	 / 		libraire			1	1	
id005395	Pelt [de]	 / 		auteur	"[Eléméns de mathématiques] (n.pl., n.pl.)"		id000365	Pelt [de]	le chevalier / 	"Additional documents - 1 prospectus', 1 'protet' 1774, 1 'compte' 30/06/1778. See dossier Guyet 13/05/1775."	auteur; professeur de mathématique; académicien		BORDEAUX	1	1	
id000372	Suchard	 / 		chapellerie; draperie			id000371	Suchard	 / 		chapellerie; draperie			1	1	
id003497	Trécourt	 / 		auteur	"Mémoires et observations de chirurgie, par M. Trecourt (Bouillon; Paris, Bouillon; Paris)"		id000373	Trécourt	 / 	'De la Société typographique de Bouillon'.  Confiscations notes: Trécourt was a member of the of the Société typographique de Bouillon (FBTEE 1.0 database)			BOUILLON	1	1	
id000378	Gauthier	 / 		libraire; papetier			id000374	Gauthier	 / 		libraire			1	1	
id000377	Robert	 / 		libraire; papetier			id000376	Robert	 / 		libraire			1	1	
id000483	Robert	 / 				"CHAUX-de-FONDS, La"	id000376	Robert	 / 		libraire			1	1	
id000486	Robert	 / fils		commissionnaire			id000376	Robert	 / 		libraire			1	1	
id001921	Robert	 / 					id000376	Robert	 / 		libraire			1	1	
id001922	Robert	 / 					id000376	Robert	 / 		libraire			1	1	
id003215	Robert	 / 	Client location after transactions data.			BOLOGNE	id000376	Robert	 / 		libraire			1	1	
id003223	Robert	 / 				"CHAUX-de-FONDS, La"	id000376	Robert	 / 		libraire			1	1	
id000483	Robert	 / 				"CHAUX-de-FONDS, La"	id000377	Robert	 / 		libraire; papetier			1	1	
id000486	Robert	 / fils		commissionnaire			id000377	Robert	 / 		libraire; papetier			1	1	
id001921	Robert	 / 					id000377	Robert	 / 		libraire; papetier			1	1	
id001922	Robert	 / 					id000377	Robert	 / 		libraire; papetier			1	1	
id003215	Robert	 / 	Client location after transactions data.			BOLOGNE	id000377	Robert	 / 		libraire; papetier			1	1	
id003223	Robert	 / 				"CHAUX-de-FONDS, La"	id000377	Robert	 / 		libraire; papetier			1	1	
id000381	Beury [de]	 / 		libraire			id000380	Beury [de]	 / 		libraire			1	1	
id008150	Masson	 / 	"None of Massons in Mellot et al. fits the person in this entry, who bought books at the veuve Hochereau stock sale in 1782.  Due to context, has been assumed to be a Libraire."	libraire		PARIS	id000385	Masson	 / 				"BRENETS, Les"	1	1	
id001498	Roulet	 / 		papetier			id000394	Roulet	 / 	Additional documents - 3 'reçu a.s.' 1778-1782.	pasteur		"BRÉVINE, La"	1	1	
id001499	Roulet	 / 		papetier			id000394	Roulet	 / 	Additional documents - 3 'reçu a.s.' 1778-1782.	pasteur		"BRÉVINE, La"	1	1	
id000958	Feytou	 / 		libraire			id000395	Feytou	 / 	"Bookseller in Langres until August 1776; teacher of mathematics at the military school of Brienne thereafter. NB. MS1102 lists a Feytou bookseller in Langres, and a Feytou prof. de maths in Brienne. They appear to be the same person."	libraire; professeur de mathématique		BRIENNE; LANGRES	1	1	
id006867	"Linguet, Simon-Nicolas-Henri"	 / 		auteur	"[Reponse de M.Linguet] (, )"		id000405	"Linguet, Simon-Nicolas-Henri"	 / 	Confiscations notes: Well known controversial writer.	avocat; littérateur		PARIS	1	1	
id010163	"Linguet, Simon-Nicolas-Henri"	 / 			"Esprit (l') de l'histoire générale de l'Europe, depuis l'an 476 jusqu'au paix de Westphalie (London, London)"		id000405	"Linguet, Simon-Nicolas-Henri"	 / 	Confiscations notes: Well known controversial writer.	avocat; littérateur		PARIS	1	1	
id010166	"Linguet, Simon-Nicolas-Henri"	 / 			"Fanatisme (le) des philosophes (London, London)"		id000405	"Linguet, Simon-Nicolas-Henri"	 / 	Confiscations notes: Well known controversial writer.	avocat; littérateur		PARIS	1	1	
id001699	Bellier	 / 		imprimeur		PARIS	id000417	Bellier	 / 					1	1	
id000715	Bertrand	 / 		commissionnaire			id000420	Bertrand	 / 		libraire			1	1	
id001062	Bertrand	 / Vve		libraire			id000420	Bertrand	 / 		libraire			1	1	
id001063	Bertrand	 / fils		libraire			id000420	Bertrand	 / 		libraire			1	1	
id002238	Bertrand	 / 		libraire		THIONVILLE	id000420	Bertrand	 / 		libraire			1	1	
id002418	Bertrand	 / fils		négociant		YVERDON	id000420	Bertrand	 / 		libraire			1	1	
id002518	Bertrand	 / 		fabricant d'indiennes		BERNE	id000420	Bertrand	 / 		libraire			1	1	
id002971	Bertrand	Mme / 				PARIS	id000420	Bertrand	 / 		libraire			1	1	
id003106	Bertrand	 / 		libraire			id000420	Bertrand	 / 		libraire			1	1	
id000783	Christin	 / 		typographe		GENÈVE	id000422	Christin	 / 		négociant			1	1	
id002054	Christin	 / fils		avocat		SAINT-CLAUDE	id000422	Christin	 / 		négociant			1	1	
id002426	Christin	 / père		commissionnaire			id000422	Christin	 / 		négociant			1	1	
id002427	Christin	 / fils		commissionnaire			id000422	Christin	 / 		négociant			1	1	
id008494	Denis	M. / 					id000429	Denis	 / 		libraire; merciers; bijoutier		CAMBRAY	1	1	
id001634	Michel	 / 		libraire; relieur		NYON	id000438	Michel	 / 	Additional document - 1 'prospectus'.	libraire; négociant en vins		SÈTE	1	1	
id007765	Michel	 / 		libraire		NANCY	id000438	Michel	 / 	Additional document - 1 'prospectus'.	libraire; négociant en vins		SÈTE	1	1	
id000448	Pettolaz	 / fils		fromagers			id000447	Pettolaz	 / père		fromagers			1	1	
id003043	Lambert	 / 		procureur		TURIN	id000453	Lambert	 / 		libraire		CHÂTILLON sur SEINE	1	1	
id000457	Billon	 / 		fabrique de cabinets			id000456	Billon	 / 		fabrique de cabinets			1	1	
id001986	"Gagnebin, Daniel"	 / 		major; médecin; physicien		RENAN	id000466	"Gagnebin, Daniel"	 / 		horloger		"CHAUX-de-FONDS, La"	1	1	
id008709	Lacroix	M. / 					id000477	Lacroix	 / 				"CHAUX-de-FONDS, La"	1	1	
id000486	Robert	 / fils		commissionnaire			id000483	Robert	 / 				"CHAUX-de-FONDS, La"	1	1	
id001921	Robert	 / 					id000483	Robert	 / 				"CHAUX-de-FONDS, La"	1	1	
id001922	Robert	 / 					id000483	Robert	 / 				"CHAUX-de-FONDS, La"	1	1	
id003215	Robert	 / 	Client location after transactions data.			BOLOGNE	id000483	Robert	 / 				"CHAUX-de-FONDS, La"	1	1	
id003223	Robert	 / 				"CHAUX-de-FONDS, La"	id000483	Robert	 / 				"CHAUX-de-FONDS, La"	1	1	
id002868	Ducommun	 / 				"CHAUX-de-FONDS, La"	id000484	Ducommun	 / 					1	1	
id001921	Robert	 / 					id000486	Robert	 / fils		commissionnaire			1	1	
id001922	Robert	 / 					id000486	Robert	 / fils		commissionnaire			1	1	
id003215	Robert	 / 	Client location after transactions data.			BOLOGNE	id000486	Robert	 / fils		commissionnaire			1	1	
id003223	Robert	 / 				"CHAUX-de-FONDS, La"	id000486	Robert	 / fils		commissionnaire			1	1	
id002349	Rosselet	 / 		négociant			id000490	Rosselet	 / 				"CHAUX-de-FONDS, La"	1	1	
id001235	"Jeanneret, F."	 / fils				LYON	id000496	"Jeanneret, F."	 / 		tailleur des pierres		CHAUX-de-MILIEU	1	1	
id008922	Reboul	Mr. / 	"Reboul in confiscations register but Retout in customs register and Renon [?] in MS 21,935. Impossible to tell which is correct: none of sources signed. Dawson gives as Reboul."				id000501	Reboul	 / 		papetier		CLARENS	1	1	
id002783	Hermann	 / 		conseiller d'Etat		BIENNE	id000527	Hermann	 / 		publiciste		COLOGNE	1	1	
id002490	Wegmann	 / 					id000553	Wegmann	 / 		ministre [religion]		ZURICH	1	1	
id001593	"Imer, David"	 / 		diacre		"NEUVEVILLE, La"	id000565	"Imer, David"	 / 	Bailli d'Erguel (1761-1783). 'Bailli d'Erguel'.	bailli; conseiller [droit]		COURTELARY	1	1	
id001594	"Imer, Samuel"	 / 		notaire; sécrétaire de ville		"NEUVEVILLE, La"	id000566	"Imer, Samuel"	 / 	Bailli d'Erguel (1783-1797). 'Bailli d'Erguel'.	bailli; conseiller [droit]		COURTELARY	1	1	
id002543	Guyenet	 / 					id000572	Guyenet	 / 		négociant		COUVET	1	1	
id002937	Guyenet	 / 		receveur		SAINT-BLAISE	id000572	Guyenet	 / 		négociant		COUVET	1	1	
id002648	Bergier	 / 				PARIS	id000576	Bergier	 / 		prêtre [Catholic]		CRAPONNE en VELAY	1	1	
id000934	Duvernois	le Chevalier / 		auteur; lieut. colonel			id000580	Duvernois	le Chevalier / 	"Author of Essais du géographie (STN, 1784). Additional documents - 1 'recu a.s.' 21/07/1782."	auteur; lieut. colonel		HOMBOURG	1	1	
id003612	Perrault	 / 		traducteur	"Anecdotes originales de Pierre le Grand recueillies de la conversation de diverses personnes de distinction de St-Pétersbourg et de Moscou, par M. de Staehlin... Ouvrage traduit de l'allemand (Strasbourg, Strasbourg)"		id000584	Perrault	 / 		imprimeur		DEUX-PONTS	1	1	
id000599	Rameau	 / fils		commissionnaire		DIJON	id000598	Rameau	 / Vve		commissionnaire		DIJON	1	1	
id002778	Fischer	 / 		bailli		CERLIER	id000608	Fischer	 / 				DRESDE	1	1	
id002956	Fischer	 / 		adjudicataire des fermes du Roi		AVIGNON	id000608	Fischer	 / 				DRESDE	1	1	
id003200	Fischer	 / 					id000608	Fischer	 / 				DRESDE	1	1	
id007302	Peter	 / 	Brother of Jean-Louis Peter of Neuchâtel.			DRESDE	id000610	Peter	 / 					1	1	
id000817	Laurent	 / 		typographe		GENÈVE	id000619	Laurent	 / 		conseiller [ambiguous term]		EPINAL	1	1	
id007717	Laurent	 / 		libraire		REMIREMONT	id000619	Laurent	 / 		conseiller [ambiguous term]		EPINAL	1	1	
id009474	Adam	 / 					id000625	Adam	 / le Père	"MS1000a only mentions 1 letter - card index notes 5, some of which do not appear in Besterman."			FERNEY	1	1	
id008034	Dufour	 / 	Listed as retired in 1781 Almanach de la Librairie.	libraire		PARIS	id000629	Dufour	 / 		négociant		FERNEY	1	1	
id001555	"Bovet, Jean-Jacques"	 / 		commissionnaire; épicier; négociant			id000633	"Bovet, Jean-Jacques"	 / 		justicier		FLEURIER	1	1	
id000656	Bethmann	 / 		commissionnaire			id000655	Bethmann	 / 		commissionnaire			1	1	
id000661	van Duren	 / 		négociant			id000660	van Duren	 / 		négociant			1	1	
id000687	Chollet	 / 		conseiller d'Etat		FRIBOURG	id000686	Chollet	 / 		secrétaire de la Chambre éditale		FRIBOURG	1	1	
id000690	Ducret	 / 		négociant			id000689	Ducret	 / 		négociant			1	1	
id002531	Ducret	 / 		typographe			id000689	Ducret	 / 		négociant			1	1	
id007575	Ducret	 / 				LAUSANNE	id000689	Ducret	 / 		négociant			1	1	
id002531	Ducret	 / 		typographe			id000690	Ducret	 / 		négociant			1	1	
id007575	Ducret	 / 				LAUSANNE	id000690	Ducret	 / 		négociant			1	1	
id002989	Gendre	 / 				ROUEN	id000695	Gendre	 / le jeune				FRIBOURG	1	1	
id002990	Gendre	 / 				PARIS	id000695	Gendre	 / le jeune				FRIBOURG	1	1	
id001854	Rey	 / l'aîné		directeur du Bureau d'indication		PARIS	id000701	Rey	Dr / 		avocat; docteur en droit; juriste		FRIBOURG	1	1	
id002688	Rey	 / 		capitaine		BALE	id000701	Rey	Dr / 		avocat; docteur en droit; juriste		FRIBOURG	1	1	
id000711	Ferrier	 / fils		fabricant de bas			id000710	Ferrier	 / 		fabricant de bas			1	1	
id000798	Ferrier	 / 		caissier des Coches		GENÈVE	id000710	Ferrier	 / 		fabricant de bas			1	1	
id000798	Ferrier	 / 		caissier des Coches		GENÈVE	id000711	Ferrier	 / fils		fabricant de bas			1	1	
id001062	Bertrand	 / Vve		libraire			id000715	Bertrand	 / 		commissionnaire			1	1	
id001063	Bertrand	 / fils		libraire			id000715	Bertrand	 / 		commissionnaire			1	1	
id002238	Bertrand	 / 		libraire		THIONVILLE	id000715	Bertrand	 / 		commissionnaire			1	1	
id002418	Bertrand	 / fils		négociant		YVERDON	id000715	Bertrand	 / 		commissionnaire			1	1	
id002518	Bertrand	 / 		fabricant d'indiennes		BERNE	id000715	Bertrand	 / 		commissionnaire			1	1	
id002971	Bertrand	Mme / 				PARIS	id000715	Bertrand	 / 		commissionnaire			1	1	
id003106	Bertrand	 / 		libraire			id000715	Bertrand	 / 		commissionnaire			1	1	
id007322	"Prat, François"	 / 				GÊNES	id000726	"Prat, François"	 / 					1	1	
id000735	"Barde, Paul"	 / 		libraire			id000733	"Barde, Paul"	 / 		imprimeur; libraire		GENÈVE	1	1	
id002500	Bassompierre	 / 		libraire			id000738	Bassompierre	 / 	"See also: Société typographique de Genève: Boin, d'Ivernois & Bassompierre."	libraire		GENÈVE	1	1	
id000750	"Bonnet, Jean-Jacques"	 / 		commissionnaire			id000749	"Bonnet, Jean-Jacques"	 / cadet		commissionnaire; expéditionnaires			1	1	
id001496	Borel	 / 		papetier			id000757	Borel	 / Vve				GENÈVE	1	1	
id002348	Borel	 / 		négociant			id000757	Borel	 / Vve				GENÈVE	1	1	
id002519	Borel	 / 	Additional documents - 2 'factures a.s.' 19/11/1774 & 15/06/1776.	tailleur		Neuchâtel	id000757	Borel	 / Vve				GENÈVE	1	1	
id002764	Borel	 / 		receveur		COLOMBIER	id000757	Borel	 / Vve				GENÈVE	1	1	
