place_code,name,alternative_names,town,C18_lower_territory,C18_sovereign_territory,C21_admin,C21_country,geographic_zone,BSR,HRE,EL,IFC,P,HE,HT,WT,PT,PrT,distance_from_neuchatel,notes,geoname,geoname_lat,geoname_lng
pl013,ANET,Ins,ANET,Berne,Swiss confederation,Berne,Switzerland,Helvetic,Swiss,0,0,0,0,0,0,0,0,0,14,Confirmation: Anet is French name for Ins in Berne. The client is local: makes one order for one book and asks it to be sent via post or voiturier Haas who is based in Bienne.,2660254,47.00584,7.10609
pn539,Angers,NULL,Angers,Tours,France,Maine-et-Loire,France,French,Bourbon France,0,0,0,0,1,0,0,0,0,NA,"University founded at Angers, 1229, preceded by Studium from about 1080.",NA,NA,NA
pl014,ANNECY,NULL,ANNECY,Savoy,Piedmont,Haute-Savoie,France,Italian,Rest of Europe,0,0,0,0,0,0,0,0,0,136,Annexed to France 27 November 1792. The C18 sovereign territory 'Sardinia' was renamed 'Piedmont' to avoid confusion with the island of 'Sardinia' which did not receive any books.,3037543,45.90621,6.1267
pl015,ANNONAY,NULL,ANNONAY,Montpellier,France,Ardèche,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,261,Confirmation: after map by H. Jaillot of Dauphiné (1728).,3037514,45.23969,4.67075
pl477,ANVERS,Antwerp,ANTWERP,Brabant,Austrian Netherlands,Antwerp,Belgium,Belgian,Rest of Europe,1,0,0,0,0,1,0,0,0,505,"For mapping purposes the two enclaves of Malines have been included in the C18 lower territory of Brabant. For mapping reasons and data analysis, the C18 lower territories of Flanders, Hainaut, Brabant and Luxembourg are treated as a single C18 sovereign territory of 'Austrian Netherlands' separate from the rest of the 'Austrian Empire'.",2803138,51.21989,4.40346
pl016,APT,NULL,APT,Provence,France,Bouches-du-Rhône,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,366,Confirmation: Provence side of border with Comtat Venaissin on Nicolas Le Fer map of Provence from 1706.,3037352,43.88333,5.4
pl017,ARBERG,Aarberg,AARBERG,Berne,Swiss confederation,Berne,Switzerland,Helvetic,Swiss,0,0,0,0,0,0,0,0,0,27,Confirmation: appears local: correspondence includes orders for Journal helvetique.,2661880,47.04439,7.27578
pl018,ARBOIS,NULL,ARBOIS,Besançon,France,Jura,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,89,NA,3037287,46.90311,5.77454
pl019,ARDON,NULL,ARDON,Besançon,France,Jura,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,83,"Identification uncertain. This is the nearest Ardon to Neuchâtel. Could also be Ardon in Valais (90 km distant) or even Ardon in the Loiret near Orleans. Correspondence lacks precise data, but as correspondent is a papetier and not based in a large town, he is probably relatively local.",3037120,46.77403,5.88751
pl500,ARNHEIM,Arnhem,ARNHEM,Gelderland,United Provinces,Gelderland,Netherlands,Dutch,Rest of Europe,0,0,0,0,0,0,0,0,0,560,NA,2759661,51.98,5.91111
pm524,Arras,null,Arras,Lille,France,Pas de Calais,France,French,Bourbon France,0,0,0,1,0,0,0,0,0,NA,technically Arras had a Conseil superieure and not a Parlement,NA,NA,NA
pl020,AUBONNE,NULL,AUBONNE,Berne,Swiss confederation,Vaud,Switzerland,Helvetic,Swiss,0,0,0,0,0,0,0,0,0,69,NA,2661687,46.49514,6.39155
pl021,AUCH,NULL,AUCH,Auch,France,Gers,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,620,NA,3036281,43.6454,0.58793
pl022,AUGSBOURG,Augsburg,AUGSBURG,Augsburg,Augsburg,Bavaria,Germany,German,Rest of Europe,1,0,1,0,0,0,0,0,0,334,NA,2954172,48.37154,10.89851
pn540,Aurillac,NULL,Aurillac,Riom,France,Cantal,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
pl023,AUTUN,NULL,AUTUN,Burgundy,France,Saône-et-Loire,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,200,NA,3035883,46.95,4.3
pl024,AUVERNIER,NULL,AUVERNIER,Neuchâtel,Prussia: Neuchâtel,Neuchâtel,Switzerland,Helvetic,Swiss,0,0,0,0,0,0,0,0,1,4,"Place identity and details confirmed in the Dictionnaire historique de la Suisse. For mapping and data analysis reasons, Neuchâtel sovereign territory is 'Neuchâtel' and not 'Prussia'.",2661664,46.97545,6.87903
pl025,AUXERRE,NULL,AUXERRE,Burgundy,France,Yonne,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,268,At times part of Paris généralité; considered part of Burgundy for Estates-General in 1789.  Confirmation: confirmed FBTEE inaccurate against geonames and Wikipedia.,3035843,47.7996,3.57033
pl026,AUXONNE,NULL,AUXONNE,Burgundy,France,Côte d'Or,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,119,NA,3035828,47.19255,5.38726
pl475,AVALLON,NULL,AVALLON,Burgundy,France,Yonne,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,235,NA,3035768,47.48333,3.9
pl027,AVENCHES,NULL,AVENCHES,Berne,Swiss confederation,Vaud,Switzerland,Helvetic,Swiss,0,0,0,0,0,0,0,0,0,15,Place identity and details confirmed in the Dictionnaire historique de la Suisse.,2661661,46.88004,7.04071
pl028,AVIGNON,NULL,AVIGNON,Venaissin,Papal Territories: Venaissin,Vaucluse,France,French,Rest of Europe,0,1,0,0,1,0,0,1,0,376,Occupied by French forces 1768-1774; annexed to France in September 1791. Higher education: University was founded in 1303 but suppressed in 1793.,3035681,43.94834,4.80892
pl029,AVOUZON,NULL,AVOUZON,Burgundy,France,Ain,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,105,"Geonames confirmation note: Avouzon is part of commune of Crozet, which serves as geonames proxy.",3022246,46.28194444444444,6.010277777777778
pl487,AVRANCHES,NULL,AVRANCHES,Caen,France,Manche,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,648,NA,3035639,48.68333,-1.36667
pl447,BÔLE,NULL,BÔLE,Neuchâtel,Prussia: Neuchâtel,Neuchâtel,Switzerland,Helvetic,Swiss,0,0,0,0,0,0,0,0,1,7,"For mapping and data analysis reasons, Neuchâtel sovereign territory is 'Neuchâtel' and not 'Prussia'.",8533439,46.96603,6.84198
pl030,BÄCH,NULL,BÄCH,Schwyz,Swiss confederation,Schwyz,Switzerland,Helvetic,Swiss,0,0,0,0,0,0,0,0,0,139,"Identity uncertain; There are BÃ¤chs in Berne, Lucerne and Schwyz, but the correspondent Blattler was a papetier. His letters took 11 days to reach the STN and BÃ¤chs in Schwyz from 1769 had a papermill, it seems the most likely candidate. This is, moreover, the only BÃ¤ch recorded in Dictionnaire Historique de la Suisse. No population figure is given. The slow speed of letters plus the fact that the letter added 'en Suisse' to the address raises possibility he wrote from BÃ¤ch in Austria.",2661652,47.20388,8.73224
pl038,BAIERSDORF,Beiersdorf,BAIERSDORF,Bayreuth,Bayreuth,Bavaria,Germany,German,Rest of Europe,1,0,0,0,0,0,0,0,0,425,Confirmation: Baiersdorf in Bavaria a more likely candidate than Beiersdorf in Brandenburg. Prussian from 1792.,2953194,49.65807,11.03594
pl031,BAIGORRY,Saint-Etienne-de-BaÃ¯gorry,BAIGORRY,Labourd and Navarre,France,Pyrenées-Atlantiques,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,776,Confirmation: described as being in Navarre. Nb. from 1784 part of new généralité of Bayonne.,2980278,43.17533,-1.3467
pl519,BAIMOCZ,"Baimos, Bojnice",BOJNICE,Hungary,Austrian Empire,Trencin,Slovakia,Austro-Hungarian,Rest of Europe,0,0,0,0,0,1,0,0,0,892,NA,3061015,48.78511,18.5864
pl032,BALE,"Basel, Basle",BASLE,Basle,Swiss confederation,Basel-Stadt,Switzerland,Helvetic,Swiss,0,0,0,0,1,0,0,0,0,81,Higher education: University created in 1459.,2661604,47.55839,7.57327
pl033,BAMBERG,NULL,BAMBERG,Bamberg,Bamberg,Bavaria,Germany,German,Rest of Europe,1,1,0,0,1,0,0,0,0,435,A Jesuit seminary and gymnasium created in 1586 gained university status in 1648; it transferred to Wiirzburg in 1803.,2952984,49.89873,10.90067
pl453,BÖNIGHEIM,BÃ¶nnigheim,BÖNIGHEIM,Duchy of Wurttemberg,Wurttemberg,Baden-Wurttemberg,Germany,German,Rest of Europe,1,0,0,0,0,0,1,0,0,280,NA,2946428,49.04018,9.09386
pl034,BAR-le-DUC,NULL,BAR-le-DUC,Nancy,France,Meuse,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,238,Confirmation: named as sub-delegation of Nancy in 1737.,3034911,48.77275,5.16108
pl035,BAR-sur-AUBE,NULL,BAR-sur-AUBE,Châlons,France,Aube,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,217,NA,3034802,48.23333,4.71667
pl036,BAR-sur-SEINE,NULL,BAR-sur-SEINE,Burgundy,France,Aube,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,229,NA,3034800,48.11295,4.37656
pl037,BASSECOURT,NULL,BASSECOURT,Basle Bishopric,Basle Bishopric,Canton of Jura,Switzerland,Helvetic,Swiss,1,1,0,0,0,0,0,0,0,45,Place identity and details confirmed in the Dictionnaire historique de la Suisse.,2661601,47.33808,7.24373
pn541,Bayeux,NULL,Bayeux,Caen,France,Calvados,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
pl039,BAYONNE,NULL,BAYONNE,Labourd and Navarre,France,Pyrenées-Atlantiques,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,325,From 1784 part of new généralité of Bayonne.,3034475,43.48333,-1.48333
pl040,BEAUNE,NULL,BEAUNE,Burgundy,France,Côte d'Or,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,159,NA,3034126,47.03333,4.83333
pl041,BEAUREPAIRE,Beaurepaire-en-bresse,BEAUREPAIRE,Besançon,France,Jura,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,123,Confirmation: described as 'par Lons-le-Saulnier' therefore is Beaurepaire-en-bresse.,3034056,46.66851,5.3883
pl042,BEAUVAIS,NULL,BEAUVAIS,Paris,France,Oise,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,450,NA,3034006,49.43333,2.08333
pl043,BELFORT,NULL,BELFORT,Strasbourg,France,Belfort (territoire de),France,French,Bourbon France,0,0,0,0,0,0,0,0,0,72,Has been a separate French territory since rest of Alsace annexed by Germans in 1871.,3033791,47.63883,6.85419
pl044,BELLE-ISLE en MER,Belle-Ile-en-Mer,BELLE-ISLE-en-MER,Rennes,France,Morbihan,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,764,Part of province of Brittany from 1759.,NA,NA,NA
pl045,BELLELAY,NULL,BELLELAY,Basle Bishopric,Basle Bishopric,Berne,Switzerland,Helvetic,Swiss,1,1,0,0,0,0,0,0,0,35,NA,2661570,47.26295,7.16766
pl046,BELLINZONE,Bellinzona,BELLINZONA,Occupied territories,Swiss confederation,Ticino,Switzerland,Helvetic,Swiss,0,0,0,0,0,0,0,0,0,183,NA,2661567,46.19278,9.01703
pl047,BERGAME,Bergamo,BERGAMO,Venice,Venice,Lombardy,Italy,Italian,Rest of Europe,0,0,0,0,0,0,0,0,0,255,NA,3182164,45.69601,9.66721
pl048,BERGERAC,NULL,BERGERAC,Bordeaux,France,Dordogne,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,553,NA,3033391,44.85,0.48333
pl049,BERLIN,NULL,BERLIN,Brandenburg,Prussia,Berlin,Germany,German,Rest of Europe,1,0,0,0,0,0,0,0,1,771,NA,2950159,52.52437,13.41053
pl050,BERNE,Bern,BERNE,Berne,Swiss confederation,Berne,Switzerland,Helvetic,Swiss,0,0,0,0,0,0,0,0,0,40,NA,2661552,46.94809,7.44744
pl051,BERTHOUD,Burgdorf,BURGDORF,Berne,Swiss confederation,Berne,Switzerland,Helvetic,Swiss,0,0,0,0,0,0,0,0,0,54,NA,2661321,47.05901,7.62786
pl052,BESANCON,NULL,BESANÃ‡ON,Besançon,France,Doubs,France,French,Bourbon France,0,0,0,1,1,0,0,0,0,74,Higher education: the University of Dole transferred to Besançon in 1691. The University was suppressed in 1793.,3033123,47.248779999999996,6.01815
pl053,BEVAIX,NULL,BEVAIX,Neuchâtel,Prussia: Neuchâtel,Neuchâtel,Switzerland,Helvetic,Swiss,0,0,0,0,0,0,0,0,1,11,"Place identity and details confirmed in the Dictionnaire historique de la Suisse. For mapping and data analysis reasons, Neuchâtel sovereign territory is 'Neuchâtel' and not 'Prussia'.",2661531,46.92958,6.8147
pl467,BEVILARD,NULL,BEVILARD,Basle Bishopric,Basle Bishopric,Berne,Switzerland,Helvetic,Swiss,1,1,0,0,0,0,0,0,0,39,Bernese Jura.,2661528,47.23711,7.28325
pl054,"BIED, Le",NULL,"BIED, Le",Neuchâtel,Prussia: Neuchâtel,Neuchâtel,Switzerland,Helvetic,Swiss,0,0,0,0,0,0,0,0,1,12,"Confirmation: is described as 'Colombier' which is in Neuchâtel, though approx 5 miles miles away. For mapping and data analysis reasons, Neuchâtel sovereign territory is 'Neuchâtel' and not 'Prussia'.  Confirmation: Geonames is correct: see note in FBTEE placing le Bied in Columbier, approx by Neuchatel airstrip. There are now streets called le Bied and Allee du Bied there by lake.",9257728,46.95688,6.87206
pl055,BIENNE,Biel,BIENNE,Basle Bishopric,Basle Bishopric,Berne,Switzerland,Helvetic,Swiss,1,1,0,0,0,0,0,0,0,30,The authority of the Prince-Bishop of Basle was more nominal than real; the town even had control of its religious affiliation and chose Protestantism. Source: Dictionnaire Historique de la Suisse.,2661513,47.13713,7.24608
pl056,BIERE,NULL,BIERE,Berne,Swiss confederation,Vaud,Switzerland,Helvetic,Swiss,0,0,0,0,0,0,0,0,0,68,NA,2661511,46.53761,6.33362
pl474,BILBAO,NULL,BILBAO,Basque Country,Spain,Basque Country,Spain,Iberian,Rest of Europe,0,0,0,0,0,0,0,0,0,878,NA,3128026,43.26271,-2.92528
pl057,BLAMONT,NULL,BLAMONT,Besançon,France,Doubs,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,44,"Confirmation: talks of Montbéliard booksellers, so local to region; letters come through Chaux-de-Fonds which is not a main route.",3032430,47.38513,6.848
pl058,BLOIS,NULL,BLOIS,Orléans,France,Loir-et-Cher,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,428,NA,3032213,47.59432,1.32912
pl059,BOIS-le-DUC,s'Hertogenbosch,BOIS-le-DUC,The Generality,United Provinces,North Brabant,Netherlands,Dutch,Rest of Europe,0,0,0,0,0,0,0,0,0,535,NA,2747351,51.69917,5.30417
pl060,BOLBEC,NULL,BOLBEC,Rouen,France,Seine-Maritime,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,558,NA,3031871,49.57321,0.47339
pl503,BOLLIGEN,NULL,BOLLIGEN,Berne,Swiss confederation,Berne,Switzerland,Helvetic,Swiss,0,0,0,0,0,0,0,0,0,43,NA,2661456,46.9751,7.49697
pl061,BOLOGNE,Bologna,BOLOGNA,Papal states,Papal Territories: Italy,Emilia-Romagna,Italy,Italian,Rest of Europe,0,1,0,0,1,0,0,1,0,441,Higher education: University created at the end of the twelth century.,3181928,44.49381,11.33875
pl062,BONN,NULL,BONN,Cologne Archbishopric,Cologne Archbishopric,North Rhine-Westphalia,Germany,German,Rest of Europe,1,1,0,0,1,0,0,0,0,416,Higher eduction: a Jesuit Gymnasium created in 1730 became a university in 1777 but closed in 1798.,2946447,50.73438,7.09549
pl063,BORDEAUX,NULL,BORDEAUX,Bordeaux,France,Gironde,France,French,Bourbon France,0,0,0,1,1,0,0,0,0,629,Higher education: University founded 1441 was suppressed in 1793.,3031582,44.84044,-0.5805
pl456,BOTTENS,NULL,BOTTENS,Berne,Swiss confederation,Vaud,Switzerland,Helvetic,Swiss,0,0,0,0,0,0,0,0,0,46,Joint ruled by Berne and Fribourg (Dictionnaire Historique de la Suisse).,2661435,46.61596,6.66149
pl064,BOUDRY,NULL,BOUDRY,Neuchâtel,Prussia: Neuchâtel,Neuchâtel,Switzerland,Helvetic,Swiss,0,0,0,0,0,0,0,0,1,8,"Place identity and details confirmed in the Dictionnaire historique de la Suisse. For mapping and data analysis reasons, Neuchâtel sovereign territory is 'Neuchâtel' and not 'Prussia'.",2661429,46.94991,6.83757
pl065,BOUILLON,NULL,BOUILLON,Bouillon,Bouillon,Belgian Luxembourg,Belgium,Belgian,Rest of Europe,0,0,0,0,0,0,0,0,0,341,Was not generally considered to be part of Holy Roman Empire by the eighteenth century.,2801283,49.79324,5.06703
pl506,BOURBONNE LES BAINS,NULL,BOURBONNE-les-BAINS,Châlons,France,Haute-Marne,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,139,Confirmation: is part of généralité of Châlons on 1752 map of Lorraine by Gilles Robert de Vaugondy.,3031086,47.95305,5.74801
pl069,BOURG St ANDEOL,NULL,BOURG-St-ANDEOL,Montpellier,France,Ardèche,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,340,NA,3030953,44.37566,4.64273
pl066,BOURG-en-BRESSE,NULL,BOURG-en-BRESSE,Burgundy,France,Ain,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,157,NA,3031009,46.20574,5.2258
pl067,BOURGES,NULL,BOURGES,Bourges,France,Cher,France,French,Bourbon France,0,0,0,0,1,0,0,0,0,344,Higher education: the University was founded in 1464 and suppressed in 1793.,3031005,47.08333,2.4
pl068,BOURGNEUF en ORLEANAIS,Le Bourgneuf,BOURGNEUF-en-ORLEANAIS,Orléans,France,Loiret,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,381,"The commune of Le Bourgneuf was incorporated into the neighbouring commune of Loury in 1824.  Confirmation: FBTEE names is clearly Bourgneuf en Orleanais or Le Bourgneuf. Note reveals it was merged with Loury in 1846. Co-ordinates for Loury in Wikipedia are 48° 00′ 07″ nord, 2° 05′ 09″ est thus matching FBTEE.",2997371,48.37629,-3.40174
pl074,"BRÉVINE, La",NULL,"BRÉVINE, La",Neuchâtel,Prussia: Neuchâtel,Neuchâtel,Switzerland,Helvetic,Swiss,0,0,0,0,0,0,0,0,1,25,"For mapping and data analysis reasons, Neuchâtel sovereign territory is 'Neuchâtel' and not 'Prussia'.",2660078,46.98055,6.60639
pl070,BRANDEBOURG,"Brandenburg, Brandenburg an der Havel",BRANDENBURG,Brandenburg,Prussia,Brandenburg,Germany,German,Rest of Europe,1,0,0,0,0,0,0,0,1,749,Confirmation: Geonames is correct.,2945358,52.41667,12.55
pl478,BREMGARTEN,NULL,BREMGARTEN,Occupied territories,Swiss confederation,Aargau,Switzerland,Helvetic,Swiss,0,0,0,0,0,0,0,0,0,114,"Confirmation: A circular letter, MS1103 f.710 reads 'Bremgarde par Zurich'. Bremgarten is just across the border between both city and Canton of Zurich and the modern Aargau.",2661407,47.35109,8.34214
pl071,"BRENETS, Les",NULL,"BRENETS, Les",Neuchâtel,Prussia: Neuchâtel,Neuchâtel,Switzerland,Helvetic,Swiss,0,0,0,0,0,0,0,0,1,19,"For mapping and data analysis reasons, Neuchâtel sovereign territory is 'Neuchâtel' and not 'Prussia'.",2659938,47.06774,6.70478
pl072,BRESCIA,NULL,BRESCIA,Venice,Venice,Lombardy,Italy,Italian,Rest of Europe,0,0,0,0,0,0,0,0,0,300,NA,3181554,45.53558,10.21472
pl073,BRESLAU,Wroclaw,BRESLAU,Silesia,Prussia,Lower Silesia,Poland,German,Rest of Europe,1,0,0,0,1,0,0,0,1,868,Higher education: A Gymnasium (Jesuit) created in 1659 became a university in 1702.,3081368,51.1,17.03333
pm525,Brest,null,Brest,Rennes,France,Finistère,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
pl075,BRIENNE,Brienne-le-Château,BRIENNE,Châlons,France,Aube,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,238,Confirmation: correspondent was bookseller who become professor of mathematics at the école militaire de Brienne.,3030093,48.39319,4.52637
pl076,BROUGG,Brugg,BRUGG,Berne,Swiss confederation,Aargau,Switzerland,Helvetic,Swiss,0,0,0,0,0,0,0,0,0,111,NA,2661374,47.48096,8.20869
pl077,"BROUILLET, Le",NULL,"BROUILLET, Le",Neuchâtel,Prussia: Neuchâtel,Neuchâtel,Switzerland,Helvetic,Swiss,0,0,0,0,0,0,0,0,1,30,"Confirmation: is local to Neuchâtel. Correspondent has already spoken with contact in Le Locle about printing prices. For mapping and data analysis reasons, Neuchâtel sovereign territory is 'Neuchâtel' and not 'Prussia'.",8533454,46.94994,6.53404
pl485,BRUGES,NULL,BRUGES,Flanders,Austrian Netherlands,West Flanders,Belgium,Belgian,Rest of Europe,1,0,0,0,0,1,0,0,0,541,"For mapping reasons and data analysis, the C18 lower territories of Flanders, Hainaut, Brabant and Luxembourg are treated as a single C18 sovereign territory of 'Austrian Netherlands' separate from the rest of the 'Austrian Empire'.",2800931,51.20892,3.22424
pl078,BRUXELLES,Brussels,BRUSSELS,Brabant,Austrian Netherlands,Brussels Capital Region,Belgium,Belgian,Rest of Europe,1,0,0,0,0,1,0,0,0,468,"For mapping purposes the two enclaves of Malines have been included in the C18 lower territory of Brabant. For mapping reasons and data analysis, the C18 lower territories of Flanders, Hainaut, Brabant and Luxembourg are treated as a single C18 sovereign territory of 'Austrian Netherlands' separate from the rest of the 'Austrian Empire'.",2800866,50.85045,4.34878
pm526,Bruyères,Null,Bruyères,Nancy,France,Vosges,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
pl079,BULLE,NULL,BULLE,Fribourg,Swiss confederation,Fribourg,Switzerland,Helvetic,Swiss,0,0,0,0,0,0,0,0,0,42,Confirmation: correspondence specifically states Canton of Fribourg.,2661337,46.61797,7.0569
pl080,BULLET,NULL,BULLET,Berne,Swiss confederation,Vaud,Switzerland,Helvetic,Swiss,0,0,0,0,0,0,0,0,0,34,Joint ruled by Berne and Fribourg (Dictionnaire Historique de la Suisse).,2661336,46.83119,6.55403
pl513,BURE,NULL,BURE,Basle Bishopric,Basle Bishopric,Canton of Jura,Switzerland,Helvetic,Swiss,1,1,0,0,0,0,0,0,0,51,Place identity and details confirmed in the Dictionnaire historique de la Suisse. Annexed by France in 1793 as part of Porrentruy.,2661325,47.44492,7.00937
pl115,CÔME,Como,COMO,Milan,Austrian Italian territories,Lombardy,Italy,Italian,Rest of Europe,0,0,0,0,0,1,0,0,0,213,"For mapping reasons and data analysis, the C18 lower territories of Tuscany and Milan are treated as a single C18 sovereign territory of 'Austrian Italian territories' separate from the rest of the 'Austrian Empire'.",3178229,45.80819,9.0832
pl081,CADIX,Cadiz,CADIZ,Andalucia,Spain,Andalucia,Spain,Iberian,Rest of Europe,0,0,0,0,0,0,0,0,0,1594,NA,2520600,36.52672,-6.2891
pl082,CAEN,NULL,CAEN,Caen,France,Calvados,France,French,Bourbon France,0,0,0,0,1,0,0,0,0,594,Higher education: the University was founded in 1432 and suppressed in 1793.,3029241,49.18585,-0.35912
pl451,CALAIS,NULL,CALAIS,Amiens,France,Pas-de-Calais,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,577,NA,3029162,50.95194,1.85635
pl509,CALEVES,"Calève, CalÃªves",CALEVES,Berne,Swiss confederation,Vaud,Switzerland,Helvetic,Swiss,0,0,0,0,0,0,0,0,0,85,"Confirmation and coordinates from Domaine de Caleve, Nyon.",NA,NA,NA
pl083,CAMBRAY,Cambrai,CAMBRAI,Valenciennes,France,Nord,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,446,NA,3029030,50.16667,3.23333
pn542,Carcassonne,NULL,Carcassonne,Toulouse,France,Aude,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
pl084,CARLSRUHE,Karlsruhe,CARLSRUHE,Baden,Baden,Baden-Wurttemberg,Germany,German,Rest of Europe,1,0,0,0,0,0,0,0,0,250,Capital of Baden-Durlach to 1771 when Baden reunified.,2892794,49.00937,8.40444
pl085,CASSEL,Kassel,CASSEL,Hesse-Cassel,Hesse-Cassel,Hesse,Germany,German,Rest of Europe,1,0,0,0,0,0,0,0,0,516,Higher eduction: had briefly been a university town in mid-seventeenth century.,2892518,51.31667,9.5
pl492,CASTRES,NULL,CASTRES,Toulouse,France,Tarn,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,526,Confirmation: by maps.,3028263,43.6,2.25
