,name,alternative_names,town,C18_lower_territory,C18_sovereign_territory,C21_admin,C21_country,geographic_zone,BSR,HRE,EL,IFC,P,HE,HT,WT,PT,PrT,distance_from_neuchatel,latitude,longitude,notes
pl038,BAIERSDORF,Beiersdorf,BAIERSDORF,Bayreuth,Bayreuth,Bavaria,Germany,German,Rest of Europe,1,0,0,0,0,0,0,0,0,425,49.65,11.016667,Confirmation: Baiersdorf in Bavaria a more likely candidate than Beiersdorf in Brandenburg. Prussian from 1792. 
pl031,BAIGORRY,Saint-Etienne-de-BaÃ¯gorry,BAIGORRY ,Labourd and Navarre,France,Pyrenées-Atlantiques,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,776,43.17503611,-1.34738611,Confirmation: described as being in Navarre. Nb. from 1784 part of new généralité of Bayonne.
pl519,BAIMOCZ,"Baimos, Bojnice",BOJNICE,Hungary,Austrian Empire,Trencin,Slovakia,Austro-Hungarian,Rest of Europe,0,0,0,0,0,1,0,0,0,892,48.78133056,18.58403889,NULL
pl032,BALE,"Basel, Basle",BASLE,Basle,Swiss confederation,Basel-Stadt,Switzerland,Helvetic,Swiss,0,0,0,0,1,0,0,0,0,81,47.57,7.58,Higher education: University created in 1459.
pl033,BAMBERG,NULL,BAMBERG,Bamberg,Bamberg,Bavaria,Germany,German,Rest of Europe,1,1,0,0,1,0,0,0,0,435,49.89421667,10.88552778,A Jesuit seminary and gymnasium created in 1586 gained university status in 1648; it transferred to Wiirzburg in 1803.
pl453,BÖNIGHEIM,BÃ¶nnigheim,BÖNIGHEIM,Duchy of Wurttemberg,Wurttemberg,Baden-Wurttemberg,Germany,German,Rest of Europe,1,0,0,0,0,0,1,0,0,280,49.04081667,9.09605278,NULL
pl034,BAR-le-DUC,NULL,BAR-le-DUC,Nancy,France,Meuse,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,238,48.77371944,5.160575,Confirmation: named as sub-delegation of Nancy in 1737.
pl035,BAR-sur-AUBE,NULL,BAR-sur-AUBE,Châlons,France,Aube,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,217,48.2348,4.70461389,NULL
pl036,BAR-sur-SEINE,NULL,BAR-sur-SEINE,Burgundy,France,Aube,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,229,48.11626389,4.37653333,NULL
pl037,BASSECOURT,NULL,BASSECOURT,Basle Bishopric,Basle Bishopric,Canton of Jura,Switzerland,Helvetic,Swiss,1,1,0,0,0,0,0,0,0,45,47.337175,7.24591111,Place identity and details confirmed in the Dictionnaire historique de la Suisse.
pn541,Bayeux,NULL,Bayeux,Caen,France,Calvados,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,,49°16?46?N ,0°42?10?W,
pl039,BAYONNE,NULL,BAYONNE,Labourd and Navarre,France,Pyrenées-Atlantiques,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,325,43.49344167,-1.47453611,From 1784 part of new généralité of Bayonne.
pl040,BEAUNE,NULL,BEAUNE,Burgundy,France,Côte d'Or,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,159,47.02398056,4.83826944,NULL
pl041,BEAUREPAIRE,Beaurepaire-en-bresse,BEAUREPAIRE,Besançon,France,Jura,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,123,46.66781667,5.38690556,Confirmation: described as 'par Lons-le-Saulnier' therefore is Beaurepaire-en-bresse.
pl042,BEAUVAIS,NULL,BEAUVAIS,Paris,France,Oise,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,450,49.42928889,2.08106944,NULL
pl043,BELFORT,NULL,BELFORT,Strasbourg,France,Belfort (territoire de),France,French,Bourbon France,0,0,0,0,0,0,0,0,0,72,47.63883333,6.86222222,Has been a separate French territory since rest of Alsace annexed by Germans in 1871.
pl044,BELLE-ISLE en MER,Belle-Ile-en-Mer,BELLE-ISLE-en-MER,Rennes,France,Morbihan,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,764,47.32870556,-3.16851111,Part of province of Brittany from 1759.
pl045,BELLELAY,NULL,BELLELAY,Basle Bishopric,Basle Bishopric,Berne,Switzerland,Helvetic,Swiss,1,1,0,0,0,0,0,0,0,35,47.26305556,7.16655,NULL
pl046,BELLINZONE,Bellinzona,BELLINZONA,Occupied territories,Swiss confederation,Ticino,Switzerland,Helvetic,Swiss,0,0,0,0,0,0,0,0,0,183,46.19328611,9.01801944,NULL
pl047,BERGAME,Bergamo,BERGAMO,Venice,Venice,Lombardy,Italy,Italian,Rest of Europe,0,0,0,0,0,0,0,0,0,255,45.69473611,9.66870833,NULL
pl048,BERGERAC,NULL,BERGERAC,Bordeaux,France,Dordogne,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,553,44.85327222,0.48295,NULL
pl049,BERLIN,NULL,BERLIN,Brandenburg,Prussia,Berlin,Germany,German,Rest of Europe,1,0,0,0,0,0,0,0,1,771,52.52400833,13.41150833,NULL
pl050,BERNE,Bern,BERNE,Berne,Swiss confederation,Berne,Switzerland,Helvetic,Swiss,0,0,0,0,0,0,0,0,0,40,46.94801944,7.44820556,NULL
pl051,BERTHOUD,Burgdorf,BURGDORF,Berne,Swiss confederation,Berne,Switzerland,Helvetic,Swiss,0,0,0,0,0,0,0,0,0,54,47.05796389,7.62868333,NULL
pl052,BESANCON,NULL,BESANÃ‡ON,Besançon,France,Doubs,France,French,Bourbon France,0,0,0,1,1,0,0,0,0,74,47.241225,6.02556389,Higher education: the University of Dole transferred to Besançon in 1691. The University was suppressed in 1793. 
pl053,BEVAIX,NULL,BEVAIX,Neuchâtel,Prussia: Neuchâtel,Neuchâtel,Switzerland,Helvetic,Swiss,0,0,0,0,0,0,0,0,1,11,46.92982778,6.81483056,"Place identity and details confirmed in the Dictionnaire historique de la Suisse. For mapping and data analysis reasons, Neuchâtel sovereign territory is 'Neuchâtel' and not 'Prussia'."
pl467,BEVILARD,NULL,BEVILARD,Basle Bishopric,Basle Bishopric,Berne,Switzerland,Helvetic,Swiss,1,1,0,0,0,0,0,0,0,39,47.23710833,7.28661667,Bernese Jura.
pl054,"BIED, Le",NULL,"BIED, Le",Neuchâtel,Prussia: Neuchâtel,Neuchâtel,Switzerland,Helvetic,Swiss,0,0,0,0,0,0,0,0,1,12,47.00377222,6.75903333,"Confirmation: is described as 'Colombier' which is in Neuchâtel, though approx 5 miles miles away. For mapping and data analysis reasons, Neuchâtel sovereign territory is 'Neuchâtel' and not 'Prussia'."
pl055,BIENNE,Biel,BIENNE,Basle Bishopric,Basle Bishopric,Berne,Switzerland,Helvetic,Swiss,1,1,0,0,0,0,0,0,0,30,47.14328333,7.24878889,The authority of the Prince-Bishop of Basle was more nominal than real; the town even had control of its religious affiliation and chose Protestantism. Source: Dictionnaire Historique de la Suisse.
pl056,BIERE,NULL,BIERE,Berne,Swiss confederation,Vaud,Switzerland,Helvetic,Swiss,0,0,0,0,0,0,0,0,0,68,46.53824722,6.33255833,NULL
pl474,BILBAO,NULL,BILBAO,Basque Country,Spain,Basque Country,Spain,Iberian,Rest of Europe,0,0,0,0,0,0,0,0,0,878,43.25696389,-2.92344167,NULL
pl057,BLAMONT,NULL,BLAMONT,Besançon,France,Doubs,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,44,47.38539444,6.849625,"Confirmation: talks of Montbéliard booksellers, so local to region; letters come through Chaux-de-Fonds which is not a main route."
pl058,BLOIS,NULL,BLOIS,Orléans,France,Loir-et-Cher,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,428,47.58594167,1.33009722,NULL
pl059,BOIS-le-DUC,s'Hertogenbosch,BOIS-le-DUC,The Generality,United Provinces,North Brabant,Netherlands,Dutch,Rest of Europe,0,0,0,0,0,0,0,0,0,535,51.68922222,5.30421111,NULL
pl060,BOLBEC,NULL,BOLBEC,Rouen,France,Seine-Maritime,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,558,49.57176667,0.47050833,NULL
pl503,BOLLIGEN,NULL,BOLLIGEN,Berne,Swiss confederation,Berne,Switzerland,Helvetic,Swiss,0,0,0,0,0,0,0,0,0,43,46.97551111,7.49730556,NULL
pl061,BOLOGNE,Bologna,BOLOGNA,Papal states,Papal Territories: Italy,Emilia-Romagna,Italy,Italian,Rest of Europe,0,1,0,0,1,0,0,1,0,441,44.49444444,11.34923056,Higher education: University created at the end of the twelth century.
pl062,BONN,NULL,BONN,Cologne Archbishopric,Cologne Archbishopric,North Rhine-Westphalia,Germany,German,Rest of Europe,1,1,0,0,1,0,0,0,0,416,50.73269167,7.09630833,Higher eduction: a Jesuit Gymnasium created in 1730 became a university in 1777 but closed in 1798.
pl063,BORDEAUX,NULL,BORDEAUX,Bordeaux,France,Gironde,France,French,Bourbon France,0,0,0,1,1,0,0,0,0,629,44.83736667,-0.57614444,Higher education: University founded 1441 was suppressed in 1793. 
pl456,BOTTENS,NULL,BOTTENS,Berne,Swiss confederation,Vaud,Switzerland,Helvetic,Swiss,0,0,0,0,0,0,0,0,0,46,46.61694167,6.66030833,Joint ruled by Berne and Fribourg (Dictionnaire Historique de la Suisse).
pl064,BOUDRY,NULL,BOUDRY,Neuchâtel,Prussia: Neuchâtel,Neuchâtel,Switzerland,Helvetic,Swiss,0,0,0,0,0,0,0,0,1,8,46.95021667,6.83702778,"Place identity and details confirmed in the Dictionnaire historique de la Suisse. For mapping and data analysis reasons, Neuchâtel sovereign territory is 'Neuchâtel' and not 'Prussia'."
pl065,BOUILLON,NULL,BOUILLON,Bouillon,Bouillon,Belgian Luxembourg,Belgium,Belgian,Rest of Europe,0,0,0,0,0,0,0,0,0,341,49.79557222,5.06811389,Was not generally considered to be part of Holy Roman Empire by the eighteenth century.
pl506,BOURBONNE LES BAINS,NULL,BOURBONNE-les-BAINS,Châlons,France,Haute-Marne,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,139,47.95350833,5.74764722,Confirmation: is part of généralité of Châlons on 1752 map of Lorraine by Gilles Robert de Vaugondy.
pl069,BOURG St ANDEOL,NULL,BOURG-St-ANDEOL,Montpellier,France,Ardèche,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,340,44.37847222,4.63593611,NULL
pl066,BOURG-en-BRESSE,NULL,BOURG-en-BRESSE,Burgundy,France,Ain,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,157,46.204825,5.2255,NULL
pl067,BOURGES,NULL,BOURGES,Bourges,France,Cher,France,French,Bourbon France,0,0,0,0,1,0,0,0,0,344,47.08289167,2.39657778,Higher education: the University was founded in 1464 and suppressed in 1793. 
pl068,BOURGNEUF en ORLEANAIS,Le Bourgneuf,BOURGNEUF-en-ORLEANAIS,Orléans,France,Loiret,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,381,48.00151667,2.08478889,The commune of Le Bourgneuf was incorporated into the neighbouring commune of Loury in 1824.
pl074,"BRÉVINE, La",NULL,"BRÉVINE, La",Neuchâtel,Prussia: Neuchâtel,Neuchâtel,Switzerland,Helvetic,Swiss,0,0,0,0,0,0,0,0,1,25,46.97983333,6.60705278,"For mapping and data analysis reasons, Neuchâtel sovereign territory is 'Neuchâtel' and not 'Prussia'."
pl070,BRANDEBOURG,"Brandenburg, Brandenburg an der Havel",BRANDENBURG,Brandenburg,Prussia,Brandenburg,Germany,German,Rest of Europe,1,0,0,0,0,0,0,0,1,749,52.45950833,13.0171,NULL
pl478,BREMGARTEN,NULL,BREMGARTEN,Occupied territories,Swiss confederation,Aargau,Switzerland,Helvetic,Swiss,0,0,0,0,0,0,0,0,0,114,47.35089444,8.34426111,"Confirmation: A circular letter, MS1103 f.710 reads 'Bremgarde par Zurich'. Bremgarten is just across the border between both city and Canton of Zurich and the modern Aargau."
pl071,"BRENETS, Les",NULL,"BRENETS, Les",Neuchâtel,Prussia: Neuchâtel,Neuchâtel,Switzerland,Helvetic,Swiss,0,0,0,0,0,0,0,0,1,19,47.06773611,6.70454167,"For mapping and data analysis reasons, Neuchâtel sovereign territory is 'Neuchâtel' and not 'Prussia'."
pl072,BRESCIA,NULL,BRESCIA,Venice,Venice,Lombardy,Italy,Italian,Rest of Europe,0,0,0,0,0,0,0,0,0,300,45.53977222,10.22293889,NULL
pl073,BRESLAU,Wroclaw,BRESLAU,Silesia,Prussia,Lower Silesia,Poland,German,Rest of Europe,1,0,0,0,1,0,0,0,1,868,51.10788611,17.03853889,Higher education: A Gymnasium (Jesuit) created in 1659 became a university in 1702.
pm525,Brest,null,Brest,Rennes,France,Finistère,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,,48° 23? 24? N,4° 29? 24? W,
pl075,BRIENNE,Brienne-le-Château,BRIENNE,Châlons,France,Aube,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,238,48.39415278,4.52585833,Confirmation: correspondent was bookseller who become professor of mathematics at the école militaire de Brienne.
pl076,BROUGG,Brugg,BRUGG,Berne,Swiss confederation,Aargau,Switzerland,Helvetic,Swiss,0,0,0,0,0,0,0,0,0,111,47.48380556,8.20725556,NULL
pl077,"BROUILLET, Le",NULL,"BROUILLET, Le",Neuchâtel,Prussia: Neuchâtel,Neuchâtel,Switzerland,Helvetic,Swiss,0,0,0,0,0,0,0,0,1,30,46.95029722,6.53462222,"Confirmation: is local to Neuchâtel. Correspondent has already spoken with contact in Le Locle about printing prices. For mapping and data analysis reasons, Neuchâtel sovereign territory is 'Neuchâtel' and not 'Prussia'."
pl485,BRUGES,NULL,BRUGES,Flanders,Austrian Netherlands,West Flanders,Belgium,Belgian,Rest of Europe,1,0,0,0,0,1,0,0,0,541,51.20941111,3.22523056,"For mapping reasons and data analysis, the C18 lower territories of Flanders, Hainaut, Brabant and Luxembourg are treated as a single C18 sovereign territory of 'Austrian Netherlands' separate from the rest of the 'Austrian Empire'."
pl078,BRUXELLES,Brussels,BRUSSELS,Brabant,Austrian Netherlands,Brussels Capital Region,Belgium,Belgian,Rest of Europe,1,0,0,0,0,1,0,0,0,468,50.85488333,4.37552222,"For mapping purposes the two enclaves of Malines have been included in the C18 lower territory of Brabant. For mapping reasons and data analysis, the C18 lower territories of Flanders, Hainaut, Brabant and Luxembourg are treated as a single C18 sovereign territory of 'Austrian Netherlands' separate from the rest of the 'Austrian Empire'."
pm526,Bruyères,Null,Bruyères,Nancy,France,Vosges,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,,48° 12? 29.88? N,6° 43? 15.6? E,
pl079,BULLE,NULL,BULLE,Fribourg,Swiss confederation,Fribourg,Switzerland,Helvetic,Swiss,0,0,0,0,0,0,0,0,0,42,46.61799167,7.05715833,Confirmation: correspondence specifically states Canton of Fribourg.
pl080,BULLET,NULL,BULLET,Berne,Swiss confederation,Vaud,Switzerland,Helvetic,Swiss,0,0,0,0,0,0,0,0,0,34,46.83092222,6.55452778,Joint ruled by Berne and Fribourg (Dictionnaire Historique de la Suisse).
pl513,BURE,NULL,BURE,Basle Bishopric,Basle Bishopric,Canton of Jura,Switzerland,Helvetic,Swiss,1,1,0,0,0,0,0,0,0,51,47.44241389,7.00697222,Place identity and details confirmed in the Dictionnaire historique de la Suisse. Annexed by France in 1793 as part of Porrentruy. 
pl115,CÔME,Como,COMO,Milan,Austrian Italian territories,Lombardy,Italy,Italian,Rest of Europe,0,0,0,0,0,1,0,0,0,213,45.81196389,9.08545556,"For mapping reasons and data analysis, the C18 lower territories of Tuscany and Milan are treated as a single C18 sovereign territory of 'Austrian Italian territories' separate from the rest of the 'Austrian Empire'."
pl081,CADIX,Cadiz,CADIZ,Andalucia,Spain,Andalucia,Spain,Iberian,Rest of Europe,0,0,0,0,0,0,0,0,0,1594,36.52994167,-6.29240833,NULL
pl082,CAEN,NULL,CAEN,Caen,France,Calvados,France,French,Bourbon France,0,0,0,0,1,0,0,0,0,594,49.18476667,-0.36016111,Higher education: the University was founded in 1432 and suppressed in 1793. 
pl451,CALAIS,NULL,CALAIS,Amiens,France,Pas-de-Calais,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,577,50.95786389,1.85214167,NULL
pl509,CALEVES,"Calève, CalÃªves",CALEVES,Berne,Swiss confederation,Vaud,Switzerland,Helvetic,Swiss,0,0,0,0,0,0,0,0,0,85,46.40155833,6.22249167,"Confirmation and coordinates from Domaine de Caleve, Nyon."
pl083,CAMBRAY,Cambrai,CAMBRAI,Valenciennes,France,Nord,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,446,50.17535,3.23436667,NULL
pn542,Carcassonne,NULL,Carcassonne,Toulouse,France,Aude,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,,43°13?N ,2°21?E,
pl084,CARLSRUHE,Karlsruhe,CARLSRUHE,Baden,Baden,Baden-Wurttemberg,Germany,German,Rest of Europe,1,0,0,0,0,0,0,0,0,250,49.00808611,8.40375556,Capital of Baden-Durlach to 1771 when Baden reunified.
pl085,CASSEL,Kassel,CASSEL,Hesse-Cassel,Hesse-Cassel,Hesse,Germany,German,Rest of Europe,1,0,0,0,0,0,0,0,0,516,51.31892778,9.49601111,Higher eduction: had briefly been a university town in mid-seventeenth century.
pl492,CASTRES,NULL,CASTRES,Toulouse,France,Tarn,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,526,43.60529167,2.24100833,Confirmation: by maps.
pl086,"CATEAU-CAMBRÉSIS, Le",NULL,"CATEAU-CAMBRÉSIS, Le",Valenciennes,France,Nord,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,427,50.10543611,3.54231389,NULL
pl087,CERLIER,Erlach,ERLACH,Berne,Swiss confederation,Berne,Switzerland,Helvetic,Swiss,0,0,0,0,0,0,0,0,0,14,47.04165,7.09614444,Place identity and details confirmed in the Dictionnaire historique de la Suisse.
pl088,CESSE,NULL,CESSE,Metz,France,Meuse,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,309,49.51170556,5.15841389,Confirmation: described as 'near Stenai'.
pl091,CHÂLONS-sur-MARNE,CHÂLONS en CHAMPAGNE,CHÂLONS-en-CHAMPAGNE,Châlons,France,Marne,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,290,48.96329167,4.36385278,NULL
