stn_abbreviated_title,edition,number_of_volumes,author_name,copies_ordered,date,full_book_title,darnton_record_id,client_name,client_code,total_number_of_volumes
Œuvres,8,6,Marie Jeanne de Heurles Laboras de Mézières dite Madame Riccoboni,3,1775-09-30,Collection complètes des œuvres de Madame Riccoboni,67,Charmet,cl0274,18
Œuvres = Collection complète des œuvres,12,8,Marie Jeanne de Heurles Laboras de Mézières dite Madame Riccoboni,3,1781-03-19,Collection complètes des œuvres de Madame Riccoboni,68,Charmet,cl0274,24
Eloges de l'Hôpital par abbé Rémy,NA,NA,Joseph-Honoré Rémi,12,1777-11-20,"Collection de divers éloges publiés à l'occasion du prix proposé par l'Académie Françoise, en 1777, pour le meilleur éloge du chancelier de L'Hospital",69,Charmet,cl0274,NA
Eloges de l'Hôpital par abbé Rémy,12,NA,Joseph-Honoré Rémi,6,1778-11-20,"Collection de divers éloges publiés à l'occasion du prix proposé par l'Académie Françoise, en 1777, pour le meilleur éloge du chancelier de L'Hospital",70,Charmet,cl0274,NA
Receuil d'éloges du chancelier de l'Hôpital,12,NA,"François-Xavier Talbert, Joseph-Honoré Rémy, chevalier de Bruny",1,1783-07-14,"Collection de divers éloges publiés à l'occasion du prix proposé par l'Académie Françoise, en 1777, pour le meilleur éloge du chancelier de L'Hospital
",71,Charmet,cl0274,NA
Compère Mathieu,NA,3,Henri-Joseph Du Laurens,6,1783-09-03,Compère (Le) Mathieu ou les bigarrures de l'esprit humain,72,Charmet,cl0274,18
Comtesse de Tessan (La),NA,NA,"Jean-Pierre-Louis de la Roche du Main, marquis de Luchet",3,1788-05-07,"Comtesse de Tessan (La), ou l’Insuffisance de la vertu
",73,Charmet,cl0274,NA
Conclave (le),NA,NA,abbé Sertor ?,100,1774-12-15,"Conclave (Le) de 1774, drame fait pour être mis en musique et pour être représenté sur le théâtre des dames pendant le Carnaval de 1775",74,Charmet,cl0274,NA
Confessions de Rousseau,8,2,Jean-Jacques Rousseau,26,1782-04-17,"Confessions (Les) de J.J. Rousseau, suivies des rêveries du promeneur solitaire",75,Charmet,cl0274,52
Confessions de Rousseau,8,2,Jean-Jacques Rousseau,26,1782-05-26,"Confessions (Les) de J.J. Rousseau, suivies des rêveries du promeneur solitaire",76,Charmet,cl0274,52
Confidences réciproques,NA,NA,"Anne Claude Philippe de Tubières de Grimoard de Pestels de Lévy, comte de Caylus",3,1785-06-01,"Confidences (Les) réciproques, ou Anecdotes de la société de la comtesse Madame de B***",77,Charmet,cl0274,NA
Confidences d'une jolie femme,12,NA,Mlle d'Albert,25,1775-05-17,Confidences d'une jolie femme (les),78,Charmet,cl0274,NA
Confidences d'une jolie femme,12,NA,Mlle d'Albert,6,1775-05-29,Confidences d'une jolie femme (les),79,Charmet,cl0274,NA
Conseils de la sagesse ou Maximes de Salomon,NA,NA,Michel Boutauld,2,1788-05-07,"Conseils de la sagesse (Les), ou le Recueil des maximes de Salomon les plus nécessaires à l'homme pour se conduire sagement",80,Charmet,cl0274,NA
Considérations sur la grandeur et la faiblesse de la Russie,8,2,Ange Goudar,3,1776-12-27,"Considérations sur les causes de l'ancienne faiblesse de l'empire de Russie, et de sa nouvelle puissance : avec un discours oratoire contenant l'Eloge de Catherine II, aujourd'hui régnante",81,Charmet,cl0274,6
Constitution d'Angleterre,NA,NA,Jean-Louis de Lolme,2,1788-05-07,"Constitution de l'Angleterre, ou État du gouvernement anglais comparé avec la forme républicaine et avec les autres monarchies de l'Europe",82,Charmet,cl0274,NA
Contes moraux de Marmontel,NA,NA,Jean-François Marmontel (1723-1799),3,1776-12-27,Contes moraux,83,Charmet,cl0274,NA
Idylles de Gessner et Contes de Diderot,12,NA,Salomon Gessner et Denis Diderot,6,1775-05-29,Contes moraux et nouvelles idylles,84,Charmet,cl0274,NA
Contrat conjugal ou Lois du mariage,NA,NA,Jacques Le Scène-Desmaisons,2,1784-05-12,"Contrat conjugal,  ou Loix du mariage, de la répudiation et du divorce",85,Charmet,cl0274,NA
Correspondance d'un jeune militaire,12,2,Jean-François Bourgoing,4,1781-03-19,Correspondance d'un jeune militaire ou Mémoires du Marquis de Luzigni et d'Hortense de Saint-Just,86,Charmet,cl0274,8
Correspondance de Montalembert,NA,3,Marc René de Montalembert,6,1777-05-12,"Correspondance de M. le marquis de Montalembert, étant employé par le roi de France à l'armée suédoise, avec M. le marquis d'Havrincourt, ambassadeur de France à la cour de Suède, M. le maréchal de Richelieu, les ministres du roi à Versailles, MM. les généraux suédois, et autres, etc., pendant les campagnes de 1757, 58, 59, 60 et 61, pour servir à l'histoire de la dernière guerre",87,Charmet,cl0274,18
Correspondance secrète depuis la mort de Louis XV,NA,8,"Louis François Métra, Guillaume Imbert de Boudeaux et alia",1,1788-05-07,"Correspondance secrète, politique et littéraire, ou Mémoires pour servir à l'histoire des cours, des sociétés et de la littérature en France depuis la mort de Louis XV",88,Charmet,cl0274,8
Géographie d'Ostervald,NA,NA,Frédéric-Samuel Ostervald,2,1784-01-02,"Cours abrégé de géographie historique, ancienne et moderne, et de sphère : par demandes et réponses, par M. l'A.B.O.",89,Charmet,cl0274,NA
Cours d'étude de Condillac,8,12,Etienne Bonnot de Condillac,1,1781-03-19,Cours d'étude pour l'enseignement du Prince de Parme…,90,Charmet,cl0274,12
Courtisanes ou l'Ecole des mœurs,NA,NA,Charles Palissot de Montenoy,12,1775-08-13,"Courtisanes (les), ou l'École des mœurs, comédie en trois actes",91,Charmet,cl0274,NA
Cousin de Mahomet (le),12,2,Nicolas Fromaget,12,1775-05-17,Cousin de Mahomet (le) et la Folie salutaire,92,Charmet,cl0274,24
Instructions pour vivre à bon marché,NA,NA,Claude-Marc-Antoine Varenne de Beost,6,1774-11-08,"Cuisine (La) des pauvres, ou Collection des meilleurs mémoires qui ont paru depuis peu, soit pour remédier aux accidens imprévus de la disette des grains, soit pour indiquer des moyens aux personnes peu aisées de vivre à bon marché dans tous les tems. Dédié aux États généraux de Bourgogne, par un ancien officier desdits États",93,Charmet,cl0274,NA
Danger d'aimer un étranger,NA,NA,Witart de Bézu,6,1785-06-01,"Danger (Le) d'aimer un étranger, ou Histoire de mylady Chester et d'un duc français",94,Charmet,cl0274,NA
Dangers de la calomnie,12,NA,Madame Beccary,13,1781-03-24,"Dangers (Les) de la calomnie, ou Mémoires de Fanny Spingler, histoire anglaise",95,Charmet,cl0274,NA
De vitis ponciticum,NA,NA,Baptiste Platine (1421-1481),1,1774-07-13,"de Vita et moribus summorum pontificum historia, Baptista Platinae ?",96,Charmet,cl0274,NA
Délassements de l'homme sensible,NA,NA,François-Thomas-Marie de Baculard d'Arnaud,4,1785-06-01,"Délassements de l’homme sensible, ou Anecdotes diverses",97,Charmet,cl0274,NA
Délassements de l'homme sensible,NA,NA,François-Thomas-Marie de Baculard d'Arnaud,1,1788-05-07,"Délassements de l’homme sensible, ou Anecdotes diverses",98,Charmet,cl0274,NA
Démonstrations élémentaires de botanique,8,3,François Rozier et Marc Antoine Louis Claret de La Tourrette,1,1788-05-07,Démonstrations élémentaires de botanique,99,Charmet,cl0274,3
Dernier voyage de Cook,8,NA,Heinrich Zimmermann von Wiesloch,2,1782-08-16,"Dernier voyage du capitaine Cook autour du monde : où se trouvent les circonstances de sa mort, publié en allemand par Henri Zimmermann, témoin oculaire : & traduit avec un abrégé de la vie de ce navigateur célèbre & des notes",100,Charmet,cl0274,NA
Aventures du jeune d'Olban,NA,NA,"Louis François Elisabeth, baron Ramond de Carbonnières",6,1777-04-02,Dernières aventures (les) du jeune d'Olban: fragment des Amours alsaciennes,101,Charmet,cl0274,NA
Lettres de cachets (des),NA,NA,"Honoré-Gabriel Riqueti, Comte de Mirabeau",6,1782-08-16,"Des lettres de cachet et des prisons d'état : ouvrage posthume, composé en 1778",102,Charmet,cl0274,NA
Lettres de cachets (des),NA,NA,"Honoré-Gabriel Riqueti, Comte de Mirabeau",26,1782-08-28,"Des lettres de cachet et des prisons d'état : ouvrage posthume, composé en 1778",103,Charmet,cl0274,NA
Drames nouveaux de Mercier,NA,NA,Louis-Sébastien Mercier,13,1783-01-09,"Déserteur (Le), drames en 5 actes de Mercier
",104,Charmet,cl0274,NA
Réduction de Paris = destruction de la ligue par Mercier,NA,NA,Louis-Sébastien Mercier,26,1782-03-20,"Destruction (La) de la Ligue, ou la Réduction de Paris, pièce nationale en 4 actes",105,Charmet,cl0274,NA
Détails nouveaux de la mort du Capitaine Cook,8,NA,David Samwell,2,1788-05-07,Détails nouveaux et circonstanciés sur la mort du capitaine Cook,106,Charmet,cl0274,NA
Devoirs maçonniques,NA,NA,La Tierce ?,6,1775-09-30,"Devoirs (Les), statuts et réglements des francs-maçons
",107,Charmet,cl0274,NA
Dictionnaire de chimie,8,4,Pierre-Joseph Macquer,4,1781-03-19,"Dictionnaire de chimie, contenant la théorie & la pratique de cette science, son application à la physique, à l'histoire naturelle, à la médecine & aux arts dépendants de la chimie",108,Charmet,cl0274,16
Dictionnaire de chimie,8,4,Pierre-Joseph Macquer,4,1780-10-26,"Dictionnaire de chimie, contenant la théorie & la pratique de cette science, son application à la physique, à l'histoire naturelle, à la médecine & aux arts dépendants de la chimie",109,Charmet,cl0274,16
Dictionnaire de chimie,8,4,Pierre-Joseph Macquer,13,1784-01-02,"Dictionnaire de chimie, contenant la théorie & la pratique de cette science, son application à la physique, à l'histoire naturelle, à la médecine & aux arts dépendants de la chimie",110,Charmet,cl0274,52
Dictionnaire de l'Académie,NA,2,NA,2,1781-03-19,Dictionnaire de l'Académie française,111,Charmet,cl0274,4
Dictionnaire de géographie de Vosgien,NA,NA,Jean-Baptiste L'advocat dit l'abbé Vosgien,2,1788-05-07,"Dictionnaire géographique portatif... traduit de l'anglais sur la 13e édition de Laurent Echard, avec des additions et des corrections considérables",112,Charmet,cl0274,NA
Dictionnaire de Bayle,2,3,Pierre Bayle,1,1774-07-13,Dictionnaire historique et critique par Monsieur Bayle,113,Charmet,cl0274,3
Dictionnaire d'histoire naturelle de Valmont de Bomare,8,12,Jacques-Christophe Valmont de Bomare,3,1787-04-24,Dictionnaire raisonné universel d'histoire naturelle,114,Charmet,cl0274,36
Dictionnaire d'histoire naturelle de Valmont de Bomare,8,12,Jacques-Christophe Valmont de Bomare,2,1788-05-07,Dictionnaire raisonné universel d'histoire naturelle,115,Charmet,cl0274,24
Dîner du comte de Boullainvillers (le),NA,NA,François-Marie Arouet dit Voltaire,6,1775-05-17,Dîner du comte de Boulainvilliers (le),116,Charmet,cl0274,NA
Discours d'Albon,8,2,"Claude Camille François, comte d’Albon",6,1782-01-28,"Discours sur l’histoire, le gouvernement, les usages, la littérature et les arts de plusieurs nations de l’Europe",117,Charmet,cl0274,12
Discours d'Albon,NA,NA,"Claude Camille François, comte d’Albon",1,1788-05-07,"Discours sur l’histoire, le gouvernement, les usages, la littérature et les arts de plusieurs nations de l’Europe",118,Charmet,cl0274,NA
Discours d'Albon tome 1,8,NA,"Claude Camille François, comte d’Albon",4,1783-01-09,"Discours sur l’histoire, le gouvernement, les usages, la littérature et les arts de plusieurs nations de l’Europe",119,Charmet,cl0274,NA
Discours d'Albon tome 1,8,NA,"Claude Camille François, comte d’Albon",3,NA,"Discours sur l’histoire, le gouvernement, les usages, la littérature et les arts de plusieurs nations de l’Europe",120,Charmet,cl0274,NA
Don Pèdre tragédie,8,NA,François-Marie Arouet dit Voltaire,6,1775-05-29,"Don Pèdre, roi de Castille, tragédie et autres pièces par Monsieur de Voltaire",121,Charmet,cl0274,NA
Doutes sur différents de la société,NA,NA,Mademoiselle Fontette de Sommery,3,1788-05-07,Doutes sur différentes opinions reçues dans la société,122,Charmet,cl0274,NA
Duchesse de Medo (La),NA,NA,Gabriel Quinet,1,1788-05-07,"Duchesse de Medo (La), nouvelle historique et galante",123,Charmet,cl0274,NA
Ecole (L) de jeunes demoiselles,NA,NA,Joseph Reyre,3,1788-05-07,"Ecole (L') des jeunes demoiselles, ou Lettres d'une mère vertueuse à sa fille, avec les réponses de la fille à sa mère",124,Charmet,cl0274,NA
Egarements de Julie (les),12,3,Claude-Joseph Dorat,6,1775-05-17,"Egarements de Julie (les), nouvelle édition",125,Charmet,cl0274,18
Elément d'histoire générale,8,9,Claude-François-Xavier Millot (1726-1785),2,1775-05-29,"Elément d'histoire générale, par M. l'abbé Millot (Claude-François-Xavier), édition augmentée",126,Charmet,cl0274,18
Elément d'histoire générale,8,9,Claude-François-Xavier Millot (1726-1785),4,1775-09-24,"Elément d'histoire générale, par M. l'abbé Millot (Claude-François-Xavier), édition augmentée",127,Charmet,cl0274,36
Elément d'histoire générale,12,9,Claude-François-Xavier Millot (1726-1785),1,1785-11-17,"Elément d'histoire générale, par M. l'abbé Millot (Claude-François-Xavier), édition augmentée",128,Charmet,cl0274,9
Eléments d'agriculture par Bertrand,8,NA,Elie Bertrand,6,1775-08-13,"Eléments d'agriculture fondés sur les faits et les raisonnements, à l'usage du peuple de la campagne : qui ont remporté le prix de la Société économique de Berne, en 1774",129,Charmet,cl0274,NA
Eléments d'agriculture par Bertrand,8,NA,Elie Bertrand,12,1775-09-24,"Eléments d'agriculture fondés sur les faits et les raisonnements, à l'usage du peuple de la campagne : qui ont remporté le prix de la Société économique de Berne, en 1774",130,Charmet,cl0274,NA
Eléments d'oryctologie,12,NA,Elie Bertrand,6,1778-11-20,Eléments d'oryctologie ou distribution méthodique des fossiles,131,Charmet,cl0274,NA
Eléments de la morale universelle,8,NA,Elie Bertrand,6,1775-09-30,"Eléments de la morale universelle, ou Tableau des devoirs de l'homme, considéré dans tous ses rapports",132,Charmet,cl0274,NA
Eleve ou Emile instituteur (Mon),NA,NA,Jérémie Vuitel,2,1788-05-07,"Elève (Mon) ou Emile instituteur, nouvelle éducation morale",133,Charmet,cl0274,NA
Eloge de la folie d'Erasme,12,NA,Erasmus Desiderius (1469-1536),2,1776-12-27,Eloge (L') de la folie composé en forme de déclamation par Erasme,134,Charmet,cl0274,NA
Eloge de Marc-Aurèle par Antoine Léonard Thomas,NA,NA,Antoine Léonard Thomas,20,1775-09-24,Eloge de Marc-Aurèle,135,Charmet,cl0274,NA
Eloges de l'Hôpital par Guibert,NA,NA,Jacques-Antoine Hippolyte de Guibert,12,1777-11-20,"Éloge historique de Michel de L'Hôpital, chancelier de France",136,Charmet,cl0274,NA
Eloges des hommes savants,12,2,Antoine Teissier (1632-1715),1,1774-07-13,"Eloges (Les) des hommes savants, tirés de l'histoire de M. d Thou",137,Charmet,cl0274,2
Eloges de Socrate,NA,NA,NA,6,1777-04-02,Eloges de Socrate prononcées par une société de Philanthropes,138,Charmet,cl0274,NA
