ID,full_book_title,author_name,stated_publication_years,stated_publication_places,book_code
1681,"La Gazette noire par un homme qui n'est pas blanc, ou Oeuvres posthumes du gazetier cuirasse","Theveneau de Morande, Charles",1784,NA,NA
1682,L'Eleve de la nature,Guillard de Beaurieu,1771,Amsterdam,NA
1687,"Histoire du siege de Gibraltar fait pendant l'ete de 1782 sous les ordres du capitaine general duc de Crillon, lieutenant-general des armees de France, par un officier des armees francois","Michaud d'Arcon, Jean Claude Eleonore",1783,NA,NA
1688,Memoires pour servir a l'histoire du siege de Gibraltar par l'auteur des Batteries flotantes,"Michaud d'Arcon, Jean Claude Eleonore",1783,NA,NA
1689,"Le Roi voyageur, ou Examen de abus de la Lidie","Perreau, Jean Andre",1784,NA,NA
1690,"Du theatre, ou Nouvel essai sur l'art dramatique","Mercier, Louis Sebastien",1773,NA,NA
1694,"Le Maitre de la langue allemande, ou Nouvelle grammaire allemande",NA,1782,NA,NA
1695,"La Paysanne parvenue, ou les Memoires de madame la marquise de L.V.","Fieux de Mouhy, Charles [de]",1777,NA,NA
1696,Le Nouveau Secretaire du cabinet contenant les lettres familières sur toutes sortes de sujets,NA,1779,NA,NA
1698,"Le Nouveau Secretaire de la cour, ou Lettres familieres","Milleran, Rene",1779,NA,NA
1699,"Essai sur l'influence de la poudre a canon dans l'art de la guerre moderne, dedie au duc Ferdinand de Brunswick","Mauvillon, Jacob",1782,NA,NA
1701,"Les Entretiens de l'autre monde sur ce qui se passe dans celui-ci, ou Dialogues entre feu Louis XV, feu le prince de Conti, feu M. Turgot, feu l'abbe de Terrai, etc",NA,1784,NA,NA
1703,Voyage de Figaro en Espagne,"Fleuriot Langle, Jean Marie Jerome, [marquis de]",1785,NA,NA
1704,"La Foutromanie, poeme lubrique","Se?nac de Meilhan, Gabriel, [de]",1775,NA,NA
1705,"La Foutromanie, poeme lubrique","Se?nac de Meilhan, Gabriel, [de]",1775,NA,NA
1707,"Relation de deux voyages dans les mers australes et des Indes faits en 1771, 1772, 1773 et 1774, par M. de Kerguelen, commandant les vaisseaux du roi le Berier, la Fortune, le Gros-ventre","Kerguelen de Tremarec, Yves-Joseph",1782,NA,NA
1709,"Essai sur la franc-maconnerie, ou Du but essentiel et fondamental de la F.M., de la possibilite et de la necessite de la reunion des differens systemes reunis et des lois mac","Beyerle, Jean-Pierre-Louis",NA,NA,NA
1710,"Le Rideau leve, ou l'Education de Laure","Mirabeau, Honore?-Gabriel, [comte de]",1786,NA,NA
1712,"Le Monalisme, histoire galante ecrite par une religieuse de l'abbaye ou se sont passees les avantures",NA,1777,Anonymous,NA
1714,"L'Albert moderne, ou Nouveaux secrets eprouves et licites, recueillis d'apres les decouvertes les plus recentes","Alletz, Pons-Augustin",1769,Paris,NA
1715,Proces instruit extraordinairement contre M. Caradeuc de La Chalotaye,NA,1770,Paris,NA
1717,"L'Homme pensant, ou Essai sur l'histoire de l'esprit humain par P. CH. L'Evesque","Levesque, Pierre-Charles",1779,Amsterdam,NA
1718,"Les Plans et les statuts des differents etablissemens ordonnes par sa majeste imperiale, Catherine II pour l'education de la jeunesse et l'utilite de son empire, traduit du russe par M. Le Clerc","Betzkii, Ivan Ivanovitch",1775,NA,NA
1719,"Collection complette de tous les ouvrages pour et contre M. Necker avec des notes critiques, politiques et secretes",NA,1781,NA,NA
1721,Principes de chirurgie par Georges de la Faye,"Lafaye, Georges, [de]",1777,Paris,NA
1722,La Faussete des miracles des deux testamens,NA,1775,London [Amsterdam,NA
1723,De la cruaute religieuse,"Holbach, Paul Henri Dietrich, [d']",1775,NA,NA
1725,"L'Art de peter, essai theori-phisique et methodique, etc.","Hurtaut, Pierre Thomas Nicolas",1775,NA,NA
1726,"Les Cent questions du paroissien, de M. le cure de ...","Guidi, Louis",1776,NA,NA
1728,Journal historique de Maupeou,"Moufle d'Angerville, Berthélemy-François-Joseph; Pidansat de Mairobert, Mathieu-François",NA,NA,NA
1737,"Anecdotes secretes pour servir a l'histoire de la republique des lettres en France, ou Journal d'un observateur","Pidansat de Mairobert, Mathieu-François; Bachaumont, Louis Petit [de]",NA,NA,NA
1738,miscellaneous books,NA,NA,NA,NA
1743,"Memoires concernant l'administration des finances sous le ministere de M. l'abbe Terrai, controleur general","Coquereau, Jean-Baptiste-Louis",1776,London,NA
1744,L'Espion anglois,"Pidansat de Mairobert, Mathieu Franc?ois",1785,London,NA
1745,L'Espion anglois,"Pidansat de Mairobert, Mathieu Franc?ois",1785,NA,NA
1746,"La Chronique scandaleuse, ou Memoires pour servir a l'histoire de la generation presente","Boudeaux, Guillaume Imbert, [de]",1791,NA,NA
1747,"Vie privee de Louis XV, ou les Principaux evenements, particularites et anecdotes de son regne","Mouffle d'Angerville, Barthe?lemy-Franc?ois-Joseph",1781,NA,NA
1748,Vie d'Appolonius de Thyane,"Cherbury, Herbert, [de]",1779,Amsterdam,NA
1749,"Ces Reflexions devoient avec beaucoup d'autres faire suite aux considerations politiques, ou Etiquette des cours, preseance, pretentions actuelles de la Russie",NA,NA,NA,NA
1750,L'Art de voler a la maniere des oiseaux,"Meerwein, Charles Frédéric",1785,Basle [Baden],NA
1751,"De la philosophie de la nature, ou Traite de morale pour l'espece humaine tire de la philosophie et fonde sur la nature","Delisle de Sales, Jean Baptiste",1778,London,NA
1752,Observations sur la constitution militaire et politique des armees de S.M. prussienne avec quelques anecdotes de la vie privee de ce monarque,"Guibert, Jacques Antoine Hippolyte, [de]",1777,Berlin,NA
1753,"Reflexions politiques, generales et particulieres sur la guerre d'Allemagne en 1778 et sur la paix conclue a Teschen le 13 mai 1779","Raoux, Adrien Philippe",1779,NA,NA
1754,"Reflexions politiques, generales et particulieres sur la guerre d'Allemagne en 1778 et sur la paix conclue a Teschen le 13 mai 1779","Raoux, Adrien Philippe",1779,NA,NA
1755,"Le Citoyen francois, ou Memoires historiques, politiques, physiques","Le Gras, Philippe",1785,London [Paris,NA
1756,"Jean Jacques Rousseau justifie, ou Reponse a M. Servan par M. Francois Chair, avocat","Chas, Francois; Servan, J.-M.-A.",1784,NA,NA
1757,"Magasin politique et historique contenant tous les actes et memoires des puissances, les edits et reglements... le recit des faits et l'extrait des differents ouvrages","Mettra, Louis-Francois",1789,NA,NA
1759,Histoire de la derniere revolution de Suede contenant le recit de ce qui s'est passe dans les trois dernieres diettes et un precis de l'histoire de Suede,"Sheridan, Charles Francis",1783,London,NA
1760,"Nouvelle Traduction du Meursius connu sous le nom d'Aloisia, ou l'Academie des dames","Chorier, Nicolas",1774,Cythere,NA
1762,"Trop est trop, capitulation de la France avec ses moines et religieux de toutes les livrées","Maubert de Gouvest, Jean-Henri",1767,NA,NA
1763,"Lettres de Madame de Maintenon a diverses personnes et a M. d'Aubigne, son frere","Angliviel de La Beaumelle, Laurent",1756,Amsterdam,NA
1764,"La Paix de 1782, ou le Bowl de punch de master Olivier Dreamer traduit de l'anglois d'apres la cinquieme edition",NA,1782,London,NA
1765,Questions de droit public sur une matiere tres interessante,"Goezmann, Louis Valentin [de]",1770,Amsterdam,NA
1766,"Recueil de pieces interessantes sur les deux questions celebres, savoir si un juif converti au christianisme peut epouser une fille chretienne lorsque son epouse juive refuse de le suivre [et si un juif] endurci devenu baron peut nommer au canonicats d'une collegiale de sa baronnie","Richard, Charles Louis",1779,Deux ponts,NA
1770,"Les Saisons, poeme",NA,1782,Amsterdam,NA
1771,Poemes epiques et autres poesies par M. de Voltaire,"Voltaire, Francois Marie Arouet",1781,London,NA
1772,"Relation, ou Journal d'un officier francois au service de la confederation de Pologne pris par les Russes et relegue en Siberie","Thesby de Belcour, Francois Auguste",1776,Amsterdam,NA
1773,Histoire philosophique et politique...,"Raynal, Guillaume Thomas Franc?ois",1781,Geneva,NA
1775,"La Philosophie du bon sens, ou Reflexions philosophiques sur l'incertitude des connoissances humaines","Boyer d'Argens, Jean Baptiste, marquis [de]",NA,NA,NA
1776,Oeuvres philosophiques de M. de La Mettrie,"La Mettrie, Julien Offray, [de]",1774,Amsterdam,NA
1778,"L'Espion chinois, ou l'Envoye secret de la cour de Pekin pour examiner l'etat present de l'Europe, traduit du chinois",Ange Goudar,NA,Cologne,NA
1779,"L'Anti-Bernier, ou Nouveau dictionnaire de theologie, par l'auteur des P.A.","Allamand, Francois-Louis",1770,NA,NA
1780,"L'Ami du peuple francois, ou Memoire adresse a M. Turgot, controleur des finances, par le fils d'un laboureur",NA,1776,Limoges,NA
1781,"Lettre d'un ami des Francois a M. Groubert de Groubentall, ecuyer avocat, contenant quelques questions sur la brochure intitulee la Finance politique","Rouille d'Orfeil, Auguste",1776,London,NA
1782,"Le Partage de la Pologne, ou Sept dialogues en forme de drame ou conversation entre des personnages distingues, etc",NA,NA,London,NA
1783,"Les Deux Conversations de madame Necker, femme du directeur general des finances en France",NA,1781,Geneva,NA
1785,"Les Jammabos, ou les Moines japonois, tragedie dediee aux manes d'Henry IV","Fenouillot de Falbaire de Quingey, Charles-Georges",1779,NA,NA
1786,Reflexions generales sur le systeme projete par le maire du palais pour changer la constitution de l'etat,NA,1771,NA,NA
1787,"Recueil de toutes les pieces du proces d'entre M. et Mme de La Bedoyere leur fils, Agathe Sticotti etc",NA,1777,La Haye,NA
1788,"Discours sur la douceur par M. de La Lande, de plusieurs academies","La Lande, Jerome [de]",1780,Bourg en Bresse,NA
1789,"Dictionnaire de la fable pour l'intelligence des poetes, des tableaux et des statuts, etc.","Chompre, Pierre",1775,NA,NA
1790,"Honny soit qui mal en pense, ou Histoire des filles celebres du 18e siecle","Jullien, Jean-Auguste",1766,London,NA
1791,"Discours et arret sur cette question, est-il utile au peuple d'etre trompe, soit qu'on l'induise dans de nouvelles erreurs, par M. Lorines",NA,1781,Leipzig,NA
1792,"Le Monialisme, histoire galante ecrite par une ex-religieuse de l'abbaye ou se sont passees les avantures",NA,1777,Rome,NA
1793,"Plan, ou essai d'education generale et nationale ou la meilleure education a donner aux hommes de toutes les nations, par M. le comte de Vaureal","Vaureal, comte de",1783,Bouillon,NA
1794,Lettre du comte de Mirabeau a M.... sur MM. Cagliostro et Lavater,"Mirabeau, Honore?-Gabriel Riqueti, comte de",1786,Berlin,NA
1795,Eloge de Voltaire lu a l'Academie royale des sciences a Berlin dans une assemblee publique et extraordinairement convoquee pour ce sujet,"Frederic II, King of Prussia",1778,Berlin,NA
1796,Le Politique hollandois,"Cerisier, Antoine-Marie; Crajenschot, J.-A.",NA,This is a periodical,NA
1797,"Maximes du droit public francois tirees des capitulaires, des ordonnances du royaume et des autres monumens de l'histoire de France","Mey, Claude",1775,Amsterdam,NA
1799,"Eloge historique de Pierre le grand, czar-empereur de toutes les Russies, par Guillaume Lefevre",Le Febure de Saint Ildephont,1782,Utrecht,NA
1801,"L'An deux mille quatre cent quarante, reve s'il en fut jamais","Mercier, Louis-Sebastien",1785,London,NA
1802,"Le Libertin de qualite, ou Confidence d'un prisonnier au chateau de Vincennes et ecrit par lui-meme, avec figures","Mirabeau, Honore?-Gabriel de Riqueti, comte de",1784,NA,NA
1803,"Collection [complette] des oeuvres philosophiques, litteraires et dramatiques de M. Diderot","Diderot, Denis",1773,NA,NA
1804,"Collection [complette] des oeuvres philosophiques, litteraires et dramatiques de M. Diderot","Diderot, Denis",1773,NA,NA
1805,Principes de la legislation universelle,"Schmid, Georges-Louis",1776,Amsterdam,NA
1806,"La Politique naturelle, ou Discours sur les vrais principes du gouvernement par un ancien magistrat","Holbach, Paul Henri Thiry, [baron d']",1773,London,NA
1808,"La Politique naturelle, ou Discours sur les vrais principes du gouvernement par un ancien magistrat","Holbach, Paul Henri Thiry, [baron d']",1773,London,NA
1809,"Essais historiques sur la vie de Marie Antoinette d'Autriche, reine de France, pour servir a l'histoire de cette princesse",NA,1789,Anonymous according to Dawson,NA
1810,Les Recits du frere Ecoute,NA,1787,Acc,NA
1811,Lettres historiques sur les comtat et sur la seigneurie d'Avignon,"Moreau, Jacob-Nicolas",1768,NA,NA
1812,"regime des societes par l'hospitalier public, ou Recherches historiques et critiques sur l'hospitalite des anciens",NA,1782,NA,NA
1813,"Le Balai, poeme heroi-comique en 18 chants","Du-Laurens, Henri-Joseph",1775,NA,NA
1815,De l'administration des assemblees provinciales,NA,1781,NA,NA
1816,De la nature,"Robinet, J. B.",1766,Amsterdam,NA
1818,"L'Esprit du citoyen, ouvrage philosophique, politique et critique","Dumas, Jean-François",1783,Neuchatel,NA
1819,Traite du mariage et de sa legislation,"Pilati di Tassulo, Carlo Antonio",1776,La Haye,NA
1820,Fragmens d'un poeme moral sur Dieu,"Marechal, Pierre-Sylvain",1781,Theopolis,NA
1821,Lettres sur la liberte politique adressees a un membre de la chambre des communes d'Angleterre sur son election,"Williams, David",1783,Liege,NA
1822,"Tableau historique, genealogique et chronologique des trois cours souveraines de France","Bouquet, Pierre",1772,La Haye,NA
1823,Memoires historiques et politiques des Pays-bas autrichiens,"Neny, Patrice Francois, [comte de]",1784,Neuchatel,NA
1824,"Discours sur le progres des connoissances humaines en general, de la morale et de la législation en particulier","Servan, Joseph Michel Antoine",1781,NA,NA
1825,Observations modestes d'un citoyen sur les operations de finances de M. Necker,NA,NA,Anonymous,NA
1826,Lettre d'un ami a M. Necker,"Augeard, Jacques-Mathieu",1781,NA,NA
1827,Le Philosophe du port au bled,"Mercer, Louis-Sebastien",1781,NA,NA
1829,Confession generale d'Audinot,NA,1774,Attributed by the BNC to Jules Bonassies,NA
1831,"Les Saisons, poeme",NA,NA,NA,NA
1832,"L'Eloge des tetons, ouvrage curieux, galant et badin compose pour les divertissements des dames avec plusieurs pieces amusantes","Commun, Jean-Pierre-Nicolas [du]",1775,Cologne,NA
1833,"Le Sopha, conte moral","Cre?billon, Claude Prosper Jolyot, [de]",NA,NA,NA
1835,"La Pucelle d'Orleans, poeme heroi-comique en 18 chants","Voltaire, Francois Marie Arouet",NA,NA,NA
1836,Memoires de madame de Maintenon,"La Beaumelle, Laurent Angliviel, [de]",NA,NA,NA
1837,La Culture et le commerce des grains en France avec les observations sur le commerce qu'en fait la ville de Marseille,NA,NA,NA,NA
1838,La Princesse de Babylone,"Voltaire, Francois Marie Arouet",1768,Rome,NA
1839,"L'Homme aux quarante ecus, ou Histoire de monsieur Andre","Voltaire, Francois Marie Arouet",NA,NA,NA
1840,"Maintenoniana, ou Choix d'anecdotes interessantes, de portraits, de pensees ingenieuses, de bons mots, de maximes morales, politiques etc. tires des Lettres de Mme de Maintenon",Bosselman de Bellemont,1773,Amsterdam,NA
1841,L'Ombre de Desrues a ses juges,"Poultier d'Elmotte, Francois Martin",NA,NA,NA
1842,Anecdotes sur madame la comtesse Du Barry,Pidansat de Mairobert,1774,NA,NA
1843,Anecdotes sur madame la comtesse Du Barry,Pidansat de Mairobert,1774,NA,NA
1844,"Parapilla, poeme en cinq chants traduit de l'italien","Borde, Charles",1776,Florence,NA
1846,"La None eclairee, ou les Delices du cloitre","Chavigny, Francois [de]",1774,Amsterdam,NA
1847,"Voltaire aux Champs-Elysees, oraison funebre, histoire, satire et mis au jour par Abraham Chaumeix","Chaumeix, Abraham-Joseph",1773,Trevoux,NA
1849,"Lettres provinciales, ou Examen impartial de l'origine de la constitution et des revolutions de la monarchie francoise, par un avocat de province a un avocat de Paris","Bouquet, Pierre",1772,La Haye,NA
1850,"Le Vol plus haut, ou L'Espion des principaux theatres de la capitale contenant une histoire abregee des acteurs et actrices, etc.",NA,NA,NA,NA
1851,"Le Chroniqueur desoeuvre, ou L'Espion des boulevards du Temple",Mayeur de Saint-Paul,1782,London,NA
1852,Abrege de l'histoire sainte et du catechisme,"Ostervald, Jean-Frederic",1774,Neuchatel,NA
1853,Vie de M. Turgot,"Condorcet, Jean Antoine Nicolas, [de]",1787,Berne,NA
1855,Le Ciel ouvert a tout l'univers,"Cuppe, Pierre",NA,NA,NA
1856,"Histoire nouvelle de Margot des Pelotons, ou la Galanterie naturelle","La Mothe, Charles Huerne [de]",NA,Likely edition acc,NA
1857,Jean Baptiste Colbert a Etienne Francois de Choiseul,NA,NA,NA,NA
1858,Le Proces des trois rois plaide au tribunal des puissances europeennes,"Goudar, Pierre Ange",NA,NA,NA
1859,"Le Cosmopolite, ou le Citoyen du monde","Fougeret de Montbron, Charles Louis",1761,NA,NA
1860,Pieces libres de M. Ferrand et poesies de quelqu'auteurs,NA,1760,London,NA
1861,Essai sur la liberte de produire ses sentiments,"Luzac, Elie",1749,NA,NA
1863,L'Aretin,"Du Laurens, Henri Joseph",1778,Holland edition,NA
1864,"Memoires de madame la marquise de Pompadour ou l'on decouvre les motifs des guerres, les intrigues, etc.",NA,NA,NA,NA
1865,Lettres a Sophie contenant un examen des fondemens de la religion chretienne et diverses objections contre l'immortalite de l'ame,"Fre?ret, Nicolas",NA,NA,NA
1866,"David, ou l'Histoire de l'homme selon le coeur de Dieu, ouvrage traduit de l'anglois",NA,1768,NA,NA
1867,"L'Homme moral, ou l'Homme considere tant dans l'etat de pure nature que dans la societe","Levesque, Pierre Charles",1775,Amsterdam,NA
1868,"Le Christianisme devoile, ou Examen des principes et des effets de la religion chretienne","Holbach, Paul Henri Thiry [baron d']",1767,London,NA
1869,L'Antiquite devoile par ses usages,"Boulanger, Nicolas Antoine",NA,NA,NA
1870,"L'Orang-outang d'Europe, ou le Polonois tel qu'il est, ouvrage methodique","Benkowitz, K. F.",NA,NA,NA
1871,Taureau blanc traduit de Syriaque,"Voltaire, Francois Marie Arouet",1774,Memphis,NA
1872,Les Moeurs,"Toussaint, Francois Vincent",1763,Amsterdam,NA
1873,"Le Temple du bonheur, ou Recueil des plus excellents traites sur le bonheur extrait des meilleurs auteurs","Dreux du Radier, Jean-Francois",1770,Bouillon,NA
1874,Oeuvres d'Helvetius,"Helvétius, Claude Adrien",NA,NA,NA
1875,De l'esprit,"Helvetius, Claude Adrien",1769,Paris,NA
1876,"De l'homme, de ses facultes intellectuelles et de son education, ouvrage posthume de M. Helvetius","Helvetius, Claude Adrien",1776,NA,NA
1877,La Bible enfin expliquee par plusieurs aumoniers,"Voltaire, Francois Marie Arouet",1777,London,NA
1878,"Systeme social, ou Principes naturels de la morale et de la politique avec un examen de l'influence du gouvernement sur les moeurs","Holbach, Paul Henri Thiry [baron d']",1773,London,NA
1879,"Systeme social, ou Principes naturels de la morale et de la politique avec un examen de l'influence du gouvernement sur les moeurs","Holbach, Paul Henri Thiry [baron d']",NA,NA,NA
1880,"Systeme de la nature, ou des Lois du monde physique","Holbach, Paul Henri Thiry [baron d']",1770,London,NA
1881,Suite de la Correspondance secrete et familiere,"Pidansat de Mairobert, Mathieu Francois",1773,NA,NA
1882,Oeuvres diverses de M. Abauzit contenant son histoire critique et de theologie,"Abauzit, Firmin",NA,NA,NA
1883,"Le Christianisme devoile, ou examen des principes et des effets de la religion chretienne","Holbach, Paul Henri Thiry [baron d']",1775,NA,NA
1884,Oeuvres philosophiques de M. de La Mettrie et de Boulanger,NA,NA,NA,NA
1885,"Du monde, de son origine et de son antiquite","Bernard, Jean-Frédéric",NA,NA,NA
1886,Recherches sur l'origine et le despotisme oriental,"Boulanger, Nicolas Antoine",1779,NA,NA
1887,Oeuvres completes de Boulanger,"Boulanger, Nicolas Antoine",1775,NA,NA
1888,Sur la legislation et le commerce des grains,"Necker, Jacques",NA,NA,NA
1889,"Suite des vues et des desirs d'un citoyen, ou Moyen de soulager le peuple [de lui procurer les secours dont il a besoin, et de le mettre en etat de supporter le poids des impots]",NA,1777,London,NA
1890,"Discours sur cette question, Quels sont les moyens de perfectionner les jeunes demoiselles","Dumas, Jean-Baptiste",1783,Neuchatel,NA
1891,"Supplement a l'Espion anglois, ou Lettres interessantes sur la retraite de M. Necker","Lanjuinais, Joseph",1781,London,NA
1892,Theatre de Voltaire,"Voltaire, Francois Marie Arouet",1781,Incomplete edition,NA
1893,"De la felicite publique, ou Consideration sur le sort des hommes","Chastellux, Franc?ois-Jean [de]",1776,Bouillon,NA
1894,"Memoires de Louis XV, roi de France et de Navarre dans lesquels on donne une description de ses amours, etc.",NA,1777,Amsterdam,NA
1895,Anecdotes a ajouter au nombreux recueils des hypocrisies philosophiques,NA,1777,NA,NA
1896,"Requete au conseil du roi pour M. Linguet, avocat contre les arrets du parlement","Linguet, Simon-Nicolas-Henri",NA,Acc,NA
1897,Recueil de pieces sur l'etat des protestants en France,"Condorcet, Jean-Antoine-Nicolas de Caritat, [marquis de]",1781,London [Paris,NA
1898,"La Jurisprudence du grand conseil examinee dans les maximes du royaume, ouvrage precieux","Goetzmann, Louis-Valentin [de]",1775,Avignon,NA
1899,Arretes du mercredi 20 aout 1777 au sujet du grand conseil,NA,NA,NA,NA
1900,Essai sur la derniere revolution de l'ordre civil en France,"Olivier, Jean de Dieu [d']",1780,London,NA
1901,Les Fondements de la jurisprudence naturelle,"Pestel, Friedrich Wilhelm",1774,Utrecht,NA
1902,"De l'eglise du pape, de quleques points de controverse et des moyens de reunion entre toutes les eglises chretiennes","Dutens, Louis",1781,Geneva,NA
1903,"De la primaute du pape, ouvrage ou l'on se propose de demontrer que l'eveque de Rome n'est qu'une primaute de rang","Pinel, Michel",1770,London,NA
1904,Pour et contre Necker,NA,NA,NA,NA
1905,"Epitres, satires, contes, odes et pieces fugitives du poete philosophe","Voltaire, Francois Maris Arouet",1771,London,NA
1906,Erotika biblion,"Mirabeau, Honore? Gabriel de Riqueti, [comte de]",1783,Rome,NA
1907,"La Morale evangelique, ou Discours sur le sermon de Jesus Christ sur la montagne","Bertrand, Elie",1775,Neuchatel,NA
1908,Essai sur les cometes ou l'on tache d'expliquer les phenomenes qu'offrent leurs queues avec des reflexions sur le soleil,"Oliver, Andrew",1777,Amsterdam,NA
1909,"Le Philosophe chretien, ou Lettres [a un jeune homme entrant dans le monde] sur la necessite et la verite de la religion","Sigorgne, Pierre",1776,Macon,NA
1910,"Le Bon sens, ou idees naturelles","Holbach, Paul Henri Thiry",1772,London,NA
1911,"le Balai, poeme heroi-comique en 18 chants","Dulaurens, Henri-Joseph",1776,Constantinople,NA
1913,Histoire ecclesiastique ancienne et moderne depuis la naissance de Jesus Christ jusqu'au 18eme siecle,"Mosheim, Johann Lorenz [von]",1776,Yverdon,NA
1915,"Le Destin de l'Amerique, ou Dialogues pittoresques","Cerisier, Marie-Antoine",1780,NA,NA
1916,"Reflexions politiques, generales et particulieres sur la guerre d'Allemagne en 1778","Raoux, Adrien-Philippe",1780,Amsterdam,NA
1917,Discours de l'empereur Julien contres les chretiens,"Julian, Emperor of Rome",1768,Berlin,NA
1918,Analyse de l'ouvrage ayant pour titre Questions de droit public,"Goetzmann, Louis-Valentin, [de]",1770,Amsterdam,NA
1919,Essai sur les moyens de diminuer les dangers de la mer,"Lelyveld, Frans, [van]",1776,Amsterdam,NA
1920,Essais de poesies legeres suivis d'un songe,"Marechal, Pierre Sylvain",1775,Geneve,NA
1921,Essais contre l'abus du pouvoir des souerains et juste idee du gouvernement d'un bon prince,NA,NA,NA,NA
1922,Remarques historiques sur la Bastille,NA,1783,London,NA
1923,Les Vrais Principes du gouvernement francois,"Gin, Pierre Louis Claude",1777,Geneva,NA
1925,Traite du mariage et de sa legislation,"Pilati di Tassulo, Carlo Antonio",1776,La Haye,NA
1926,Remarques sur les erreurs de l'Histoire philosophique de M. Raynal,NA,1783,Amsterdam,NA
1929,"Paul Jones, ou Propheties sur l'Amerique, l'Angleterre, la France, l'Espagne, la Hollande",NA,NA,NA,NA
1930,"L'Amerique delivree, esquisse d'un poeme sur l'independance de l'Amerique","Chavannes de la Giraudie?re, L.",1783,NA,NA
1931,"La Morale universelle, ou les Devoirs de l'homme fondes sur la nature","Holbach, Paul Henri Thiry, [baron d']",1776,NA,NA
1932,La Verite rendue sensible a Louis XVI,NA,NA,NA,NA
1935,"La Dunciade, poeme nouveau","Palissot de Montenoy, Charles",1773,NA,NA
1936,"Correspondance de M. le marquis de Montalembert dans les campagnes de 1757, 1758 a 1761","Montalembert, Marc Rene",1777,London,NA
1937,Recueil de pieces justificatives traduites et commentees,NA,NA,NA,NA
1938,Les Lois des batimens suivant la coutume de Paris,"Desgodets, Antoine Babuty",1777,Paris,NA
1939,"le Guerluchon femelle, ou la reine chaude et sa sur-intendante, histoire moderne",NA,NA,NA,NA
1940,Memoires de Sully,NA,NA,NA,NA
1941,"Histoire de Marguerite, fille de Suson Cauchoise",NA,NA,NA,NA
1942,Histoire de l'admirable dom Quichotte,Cervantes,NA,NA,NA
1943,Oeuvres de Madame la marquise de Lambert,NA,1766,Amsterdam,NA
