,ID,full_book_title,author_name,stated_publication_years,stated_publication_places,book_code,cluster,confidence
23,1677.0,"La Hollande au dix-huitieme siecle, ou Nouvelles lettres contenant des remarques et des observations sur les principales villes, la religion, etc","L'Honore, Francois Samuel",1779,La Haye,,,
24,1679.0,L'Aretin moderne,"Du Laurens, Henri Joseph",1783,Rome,,156.0,8.872284524841234e-07
25,1680.0,L'Aretin moderne,"Du Laurens, Henri Joseph",1780,Rome,,156.0,8.872284524841234e-07
26,1681.0,"La Gazette noire par un homme qui n'est pas blanc, ou Oeuvres posthumes du gazetier cuirasse","Theveneau de Morande, Charles",1784,,,157.0,2.78012180388032e-07
27,1682.0,L'Eleve de la nature,Guillard de Beaurieu,1771,Amsterdam,,,
28,1687.0,"Histoire du siege de Gibraltar fait pendant l'ete de 1782 sous les ordres du capitaine general duc de Crillon, lieutenant-general des armees de France, par un officier des armees francois","Michaud d'Arcon, Jean Claude Eleonore",1783,,,,
29,1688.0,Memoires pour servir a l'histoire du siege de Gibraltar par l'auteur des Batteries flotantes,"Michaud d'Arcon, Jean Claude Eleonore",1783,,,158.0,0.00019197308574803174
30,1689.0,"Le Roi voyageur, ou Examen de abus de la Lidie","Perreau, Jean Andre",1784,,,,
31,1690.0,"Du theatre, ou Nouvel essai sur l'art dramatique","Mercier, Louis Sebastien",1773,,,159.0,1.7502874243291444e-06
32,1694.0,"Le Maitre de la langue allemande, ou Nouvelle grammaire allemande",,1782,,,160.0,0.0016015975270420313
33,1695.0,"La Paysanne parvenue, ou les Memoires de madame la marquise de L.V.","Fieux de Mouhy, Charles [de]",1777,,,,
34,1696.0,Le Nouveau Secretaire du cabinet contenant les lettres familières sur toutes sortes de sujets,,1779,,,,
35,1698.0,"Le Nouveau Secretaire de la cour, ou Lettres familieres","Milleran, Rene",1779,,,,
36,1699.0,"Essai sur l'influence de la poudre a canon dans l'art de la guerre moderne, dedie au duc Ferdinand de Brunswick","Mauvillon, Jacob",1782,,,,
37,1701.0,"Les Entretiens de l'autre monde sur ce qui se passe dans celui-ci, ou Dialogues entre feu Louis XV, feu le prince de Conti, feu M. Turgot, feu l'abbe de Terrai, etc",,1784,,,,
38,1703.0,Voyage de Figaro en Espagne,"Fleuriot Langle, Jean Marie Jerome, [marquis de]",1785,,,,
39,1704.0,"La Foutromanie, poeme lubrique","Se?nac de Meilhan, Gabriel, [de]",1775,,,161.0,0.5088352560997009
40,1705.0,"La Foutromanie, poeme lubrique","Se?nac de Meilhan, Gabriel, [de]",1775,,,161.0,0.5088352560997009
41,1707.0,"Relation de deux voyages dans les mers australes et des Indes faits en 1771, 1772, 1773 et 1774, par M. de Kerguelen, commandant les vaisseaux du roi le Berier, la Fortune, le Gros-ventre","Kerguelen de Tremarec, Yves-Joseph",1782,,,,
42,1709.0,"Essai sur la franc-maconnerie, ou Du but essentiel et fondamental de la F.M., de la possibilite et de la necessite de la reunion des differens systemes reunis et des lois mac","Beyerle, Jean-Pierre-Louis",,,,,
43,1710.0,"Le Rideau leve, ou l'Education de Laure","Mirabeau, Honore?-Gabriel, [comte de]",1786,,,,
44,1712.0,"Le Monalisme, histoire galante ecrite par une religieuse de l'abbaye ou se sont passees les avantures",,1777,Anonymous,,162.0,2.2689355319016613e-06
45,1714.0,"L'Albert moderne, ou Nouveaux secrets eprouves et licites, recueillis d'apres les decouvertes les plus recentes","Alletz, Pons-Augustin",1769,Paris,,,
46,1715.0,Proces instruit extraordinairement contre M. Caradeuc de La Chalotaye,,1770,Paris,,,
47,1717.0,"L'Homme pensant, ou Essai sur l'histoire de l'esprit humain par P. CH. L'Evesque","Levesque, Pierre-Charles",1779,Amsterdam,,,
48,1718.0,"Les Plans et les statuts des differents etablissemens ordonnes par sa majeste imperiale, Catherine II pour l'education de la jeunesse et l'utilite de son empire, traduit du russe par M. Le Clerc","Betzkii, Ivan Ivanovitch",1775,,,163.0,0.004628000780940056
49,1719.0,"Collection complette de tous les ouvrages pour et contre M. Necker avec des notes critiques, politiques et secretes",,1781,,,164.0,0.18437331914901733
50,1721.0,Principes de chirurgie par Georges de la Faye,"Lafaye, Georges, [de]",1777,Paris,,,
51,1722.0,La Faussete des miracles des deux testamens,,1775,London [Amsterdam,,,
52,1723.0,De la cruaute religieuse,"Holbach, Paul Henri Dietrich, [d']",1775,,,,
53,1725.0,"L'Art de peter, essai theori-phisique et methodique, etc.","Hurtaut, Pierre Thomas Nicolas",1775,,,,
54,1726.0,"Les Cent questions du paroissien, de M. le cure de ...","Guidi, Louis",1776,,,,
55,1728.0,Journal historique de Maupeou,"Moufle d'Angerville, Berthélemy-François-Joseph; Pidansat de Mairobert, Mathieu-François",,,,,
56,1737.0,"Anecdotes secretes pour servir a l'histoire de la republique des lettres en France, ou Journal d'un observateur","Pidansat de Mairobert, Mathieu-François; Bachaumont, Louis Petit [de]",,,,,
57,1738.0,miscellaneous books,,,,,,
58,1743.0,"Memoires concernant l'administration des finances sous le ministere de M. l'abbe Terrai, controleur general","Coquereau, Jean-Baptiste-Louis",1776,London,,,
59,1744.0,L'Espion anglois,"Pidansat de Mairobert, Mathieu Franc?ois",1785,London,,165.0,0.5088352560997009
60,1745.0,L'Espion anglois,"Pidansat de Mairobert, Mathieu Franc?ois",1785,,,165.0,0.5088352560997009
61,1746.0,"La Chronique scandaleuse, ou Memoires pour servir a l'histoire de la generation presente","Boudeaux, Guillaume Imbert, [de]",1791,,,,
62,1747.0,"Vie privee de Louis XV, ou les Principaux evenements, particularites et anecdotes de son regne","Mouffle d'Angerville, Barthe?lemy-Franc?ois-Joseph",1781,,,,
63,1748.0,Vie d'Appolonius de Thyane,"Cherbury, Herbert, [de]",1779,Amsterdam,,,
64,1749.0,"Ces Reflexions devoient avec beaucoup d'autres faire suite aux considerations politiques, ou Etiquette des cours, preseance, pretentions actuelles de la Russie",,,,,,
65,1750.0,L'Art de voler a la maniere des oiseaux,"Meerwein, Charles Frédéric",1785,Basle [Baden],,,
66,1751.0,"De la philosophie de la nature, ou Traite de morale pour l'espece humaine tire de la philosophie et fonde sur la nature","Delisle de Sales, Jean Baptiste",1778,London,,,
67,1752.0,Observations sur la constitution militaire et politique des armees de S.M. prussienne avec quelques anecdotes de la vie privee de ce monarque,"Guibert, Jacques Antoine Hippolyte, [de]",1777,Berlin,,,
68,1753.0,"Reflexions politiques, generales et particulieres sur la guerre d'Allemagne en 1778 et sur la paix conclue a Teschen le 13 mai 1779","Raoux, Adrien Philippe",1779,,,166.0,0.5088352560997009
69,1754.0,"Reflexions politiques, generales et particulieres sur la guerre d'Allemagne en 1778 et sur la paix conclue a Teschen le 13 mai 1779","Raoux, Adrien Philippe",1779,,,166.0,0.5088352560997009
70,1755.0,"Le Citoyen francois, ou Memoires historiques, politiques, physiques","Le Gras, Philippe",1785,London [Paris,,,
71,1756.0,"Jean Jacques Rousseau justifie, ou Reponse a M. Servan par M. Francois Chair, avocat","Chas, Francois; Servan, J.-M.-A.",1784,,,,
72,1757.0,"Magasin politique et historique contenant tous les actes et memoires des puissances, les edits et reglements... le recit des faits et l'extrait des differents ouvrages","Mettra, Louis-Francois",1789,,,,
73,1759.0,Histoire de la derniere revolution de Suede contenant le recit de ce qui s'est passe dans les trois dernieres diettes et un precis de l'histoire de Suede,"Sheridan, Charles Francis",1783,London,,,
74,1760.0,"Nouvelle Traduction du Meursius connu sous le nom d'Aloisia, ou l'Academie des dames","Chorier, Nicolas",1774,Cythere,,,
75,1762.0,"Trop est trop, capitulation de la France avec ses moines et religieux de toutes les livrées","Maubert de Gouvest, Jean-Henri",1767,,,,
76,1763.0,"Lettres de Madame de Maintenon a diverses personnes et a M. d'Aubigne, son frere","Angliviel de La Beaumelle, Laurent",1756,Amsterdam,,,
77,1764.0,"La Paix de 1782, ou le Bowl de punch de master Olivier Dreamer traduit de l'anglois d'apres la cinquieme edition",,1782,London,,167.0,2.4018503609113395e-05
78,1765.0,Questions de droit public sur une matiere tres interessante,"Goezmann, Louis Valentin [de]",1770,Amsterdam,,168.0,0.15371179580688477
79,1766.0,"Recueil de pieces interessantes sur les deux questions celebres, savoir si un juif converti au christianisme peut epouser une fille chretienne lorsque son epouse juive refuse de le suivre [et si un juif] endurci devenu baron peut nommer au canonicats d'une collegiale de sa baronnie","Richard, Charles Louis",1779,Deux ponts,,,
80,1770.0,"Les Saisons, poeme",,1782,Amsterdam,,169.0,0.6608057618141174
81,1771.0,Poemes epiques et autres poesies par M. de Voltaire,"Voltaire, Francois Marie Arouet",1781,London,,,
82,1772.0,"Relation, ou Journal d'un officier francois au service de la confederation de Pologne pris par les Russes et relegue en Siberie","Thesby de Belcour, Francois Auguste",1776,Amsterdam,,170.0,0.16206347942352295
83,1773.0,Histoire philosophique et politique...,"Raynal, Guillaume Thomas Franc?ois",1781,Geneva,,,
84,1775.0,"La Philosophie du bon sens, ou Reflexions philosophiques sur l'incertitude des connoissances humaines","Boyer d'Argens, Jean Baptiste, marquis [de]",,,,,
85,1776.0,Oeuvres philosophiques de M. de La Mettrie,"La Mettrie, Julien Offray, [de]",1774,Amsterdam,,,
86,1778.0,"L'Espion chinois, ou l'Envoye secret de la cour de Pekin pour examiner l'etat present de l'Europe, traduit du chinois",Ange Goudar,,Cologne,,,
87,1779.0,"L'Anti-Bernier, ou Nouveau dictionnaire de theologie, par l'auteur des P.A.","Allamand, Francois-Louis",1770,,,,
88,1780.0,"L'Ami du peuple francois, ou Memoire adresse a M. Turgot, controleur des finances, par le fils d'un laboureur",,1776,Limoges,,171.0,0.00013961367949377745
89,1781.0,"Lettre d'un ami des Francois a M. Groubert de Groubentall, ecuyer avocat, contenant quelques questions sur la brochure intitulee la Finance politique","Rouille d'Orfeil, Auguste",1776,London,,,
90,1782.0,"Le Partage de la Pologne, ou Sept dialogues en forme de drame ou conversation entre des personnages distingues, etc",,,London,,,
91,1783.0,"Les Deux Conversations de madame Necker, femme du directeur general des finances en France",,1781,Geneva,,,
92,1785.0,"Les Jammabos, ou les Moines japonois, tragedie dediee aux manes d'Henry IV","Fenouillot de Falbaire de Quingey, Charles-Georges",1779,,,,
93,1786.0,Reflexions generales sur le systeme projete par le maire du palais pour changer la constitution de l'etat,,1771,,,,
94,1787.0,"Recueil de toutes les pieces du proces d'entre M. et Mme de La Bedoyere leur fils, Agathe Sticotti etc",,1777,La Haye,,,
95,1788.0,"Discours sur la douceur par M. de La Lande, de plusieurs academies","La Lande, Jerome [de]",1780,Bourg en Bresse,,,
96,1789.0,"Dictionnaire de la fable pour l'intelligence des poetes, des tableaux et des statuts, etc.","Chompre, Pierre",1775,,,,
97,1790.0,"Honny soit qui mal en pense, ou Histoire des filles celebres du 18e siecle","Jullien, Jean-Auguste",1766,London,,,
98,1791.0,"Discours et arret sur cette question, est-il utile au peuple d'etre trompe, soit qu'on l'induise dans de nouvelles erreurs, par M. Lorines",,1781,Leipzig,,,
99,1792.0,"Le Monialisme, histoire galante ecrite par une ex-religieuse de l'abbaye ou se sont passees les avantures",,1777,Rome,,162.0,2.2689355319016613e-06
100,1793.0,"Plan, ou essai d'education generale et nationale ou la meilleure education a donner aux hommes de toutes les nations, par M. le comte de Vaureal","Vaureal, comte de",1783,Bouillon,,,
101,1794.0,Lettre du comte de Mirabeau a M.... sur MM. Cagliostro et Lavater,"Mirabeau, Honore?-Gabriel Riqueti, comte de",1786,Berlin,,,
102,1795.0,Eloge de Voltaire lu a l'Academie royale des sciences a Berlin dans une assemblee publique et extraordinairement convoquee pour ce sujet,"Frederic II, King of Prussia",1778,Berlin,,,
103,1796.0,Le Politique hollandois,"Cerisier, Antoine-Marie; Crajenschot, J.-A.",,This is a periodical,,,
104,1797.0,"Maximes du droit public francois tirees des capitulaires, des ordonnances du royaume et des autres monumens de l'histoire de France","Mey, Claude",1775,Amsterdam,,,
105,1799.0,"Eloge historique de Pierre le grand, czar-empereur de toutes les Russies, par Guillaume Lefevre",Le Febure de Saint Ildephont,1782,Utrecht,,,
106,1801.0,"L'An deux mille quatre cent quarante, reve s'il en fut jamais","Mercier, Louis-Sebastien",1785,London,,,
107,1802.0,"Le Libertin de qualite, ou Confidence d'un prisonnier au chateau de Vincennes et ecrit par lui-meme, avec figures","Mirabeau, Honore?-Gabriel de Riqueti, comte de",1784,,,,
108,1803.0,"Collection [complette] des oeuvres philosophiques, litteraires et dramatiques de M. Diderot","Diderot, Denis",1773,,,172.0,0.5088352560997009
109,1804.0,"Collection [complette] des oeuvres philosophiques, litteraires et dramatiques de M. Diderot","Diderot, Denis",1773,,,172.0,0.5088352560997009
110,1805.0,Principes de la legislation universelle,"Schmid, Georges-Louis",1776,Amsterdam,,,
111,1806.0,"La Politique naturelle, ou Discours sur les vrais principes du gouvernement par un ancien magistrat","Holbach, Paul Henri Thiry, [baron d']",1773,London,,173.0,0.901211142539978
112,1808.0,"La Politique naturelle, ou Discours sur les vrais principes du gouvernement par un ancien magistrat","Holbach, Paul Henri Thiry, [baron d']",1773,London,,173.0,0.901211142539978
113,1809.0,"Essais historiques sur la vie de Marie Antoinette d'Autriche, reine de France, pour servir a l'histoire de cette princesse",,1789,Anonymous according to Dawson,,,
114,1810.0,Les Recits du frere Ecoute,,1787,Acc,,,
115,1811.0,Lettres historiques sur les comtat et sur la seigneurie d'Avignon,"Moreau, Jacob-Nicolas",1768,,,,
116,1812.0,"regime des societes par l'hospitalier public, ou Recherches historiques et critiques sur l'hospitalite des anciens",,1782,,,,
117,1813.0,"Le Balai, poeme heroi-comique en 18 chants","Du-Laurens, Henri-Joseph",1775,,,174.0,7.691056453040801e-06
118,1815.0,De l'administration des assemblees provinciales,,1781,,,,
119,1816.0,De la nature,"Robinet, J. B.",1766,Amsterdam,,,
120,1818.0,"L'Esprit du citoyen, ouvrage philosophique, politique et critique","Dumas, Jean-François",1783,Neuchatel,,,
121,1819.0,Traite du mariage et de sa legislation,"Pilati di Tassulo, Carlo Antonio",1776,La Haye,,175.0,0.901211142539978
122,1820.0,Fragmens d'un poeme moral sur Dieu,"Marechal, Pierre-Sylvain",1781,Theopolis,,,
123,1821.0,Lettres sur la liberte politique adressees a un membre de la chambre des communes d'Angleterre sur son election,"Williams, David",1783,Liege,,,
124,1822.0,"Tableau historique, genealogique et chronologique des trois cours souveraines de France","Bouquet, Pierre",1772,La Haye,,176.0,0.5381603837013245
125,1823.0,Memoires historiques et politiques des Pays-bas autrichiens,"Neny, Patrice Francois, [comte de]",1784,Neuchatel,,177.0,0.022776219993829727
126,1824.0,"Discours sur le progres des connoissances humaines en general, de la morale et de la législation en particulier","Servan, Joseph Michel Antoine",1781,,,,
127,1825.0,Observations modestes d'un citoyen sur les operations de finances de M. Necker,,,Anonymous,,,
128,1826.0,Lettre d'un ami a M. Necker,"Augeard, Jacques-Mathieu",1781,,,,
129,1827.0,Le Philosophe du port au bled,"Mercer, Louis-Sebastien",1781,,,,
130,1829.0,Confession generale d'Audinot,,1774,Attributed by the BNC to Jules Bonassies,,,
131,1831.0,"Les Saisons, poeme",,,,,169.0,0.6608057618141174
132,1832.0,"L'Eloge des tetons, ouvrage curieux, galant et badin compose pour les divertissements des dames avec plusieurs pieces amusantes","Commun, Jean-Pierre-Nicolas [du]",1775,Cologne,,,
133,1833.0,"Le Sopha, conte moral","Cre?billon, Claude Prosper Jolyot, [de]",,,,,
134,1835.0,"La Pucelle d'Orleans, poeme heroi-comique en 18 chants","Voltaire, Francois Marie Arouet",,,,,
135,1836.0,Memoires de madame de Maintenon,"La Beaumelle, Laurent Angliviel, [de]",,,,,
136,1837.0,La Culture et le commerce des grains en France avec les observations sur le commerce qu'en fait la ville de Marseille,,,,,,
137,1838.0,La Princesse de Babylone,"Voltaire, Francois Marie Arouet",1768,Rome,,,
138,1839.0,"L'Homme aux quarante ecus, ou Histoire de monsieur Andre","Voltaire, Francois Marie Arouet",,,,,
139,1840.0,"Maintenoniana, ou Choix d'anecdotes interessantes, de portraits, de pensees ingenieuses, de bons mots, de maximes morales, politiques etc. tires des Lettres de Mme de Maintenon",Bosselman de Bellemont,1773,Amsterdam,,,
140,1841.0,L'Ombre de Desrues a ses juges,"Poultier d'Elmotte, Francois Martin",,,,,
141,1842.0,Anecdotes sur madame la comtesse Du Barry,Pidansat de Mairobert,1774,,,178.0,0.5088352560997009
142,1843.0,Anecdotes sur madame la comtesse Du Barry,Pidansat de Mairobert,1774,,,178.0,0.5088352560997009
143,1844.0,"Parapilla, poeme en cinq chants traduit de l'italien","Borde, Charles",1776,Florence,,179.0,3.385973172953527e-07
144,1846.0,"La None eclairee, ou les Delices du cloitre","Chavigny, Francois [de]",1774,Amsterdam,,,
145,1847.0,"Voltaire aux Champs-Elysees, oraison funebre, histoire, satire et mis au jour par Abraham Chaumeix","Chaumeix, Abraham-Joseph",1773,Trevoux,,,
146,1849.0,"Lettres provinciales, ou Examen impartial de l'origine de la constitution et des revolutions de la monarchie francoise, par un avocat de province a un avocat de Paris","Bouquet, Pierre",1772,La Haye,,,
147,1850.0,"Le Vol plus haut, ou L'Espion des principaux theatres de la capitale contenant une histoire abregee des acteurs et actrices, etc.",,,,,,
148,1851.0,"Le Chroniqueur desoeuvre, ou L'Espion des boulevards du Temple",Mayeur de Saint-Paul,1782,London,,,
149,1852.0,Abrege de l'histoire sainte et du catechisme,"Ostervald, Jean-Frederic",1774,Neuchatel,,,
150,1853.0,Vie de M. Turgot,"Condorcet, Jean Antoine Nicolas, [de]",1787,Berne,,181.0,3.7249218820534225e-08
151,1855.0,Le Ciel ouvert a tout l'univers,"Cuppe, Pierre",,,,,
152,1856.0,"Histoire nouvelle de Margot des Pelotons, ou la Galanterie naturelle","La Mothe, Charles Huerne [de]",,Likely edition acc,,182.0,6.259178189793602e-05
153,1857.0,Jean Baptiste Colbert a Etienne Francois de Choiseul,,,,,,
154,1858.0,Le Proces des trois rois plaide au tribunal des puissances europeennes,"Goudar, Pierre Ange",,,,,
155,1859.0,"Le Cosmopolite, ou le Citoyen du monde","Fougeret de Montbron, Charles Louis",1761,,,183.0,0.3135015666484833
156,1860.0,Pieces libres de M. Ferrand et poesies de quelqu'auteurs,,1760,London,,,
157,1861.0,Essai sur la liberte de produire ses sentiments,"Luzac, Elie",1749,,,,
158,1863.0,L'Aretin,"Du Laurens, Henri Joseph",1778,Holland edition,,,
159,1864.0,"Memoires de madame la marquise de Pompadour ou l'on decouvre les motifs des guerres, les intrigues, etc.",,,,,,
160,1865.0,Lettres a Sophie contenant un examen des fondemens de la religion chretienne et diverses objections contre l'immortalite de l'ame,"Fre?ret, Nicolas",,,,,
161,1866.0,"David, ou l'Histoire de l'homme selon le coeur de Dieu, ouvrage traduit de l'anglois",,1768,,,,
162,1867.0,"L'Homme moral, ou l'Homme considere tant dans l'etat de pure nature que dans la societe","Levesque, Pierre Charles",1775,Amsterdam,,184.0,0.006069629918783903
163,1868.0,"Le Christianisme devoile, ou Examen des principes et des effets de la religion chretienne","Holbach, Paul Henri Thiry [baron d']",1767,London,,185.0,1.876014534690773e-12
164,1869.0,L'Antiquite devoile par ses usages,"Boulanger, Nicolas Antoine",,,,,
165,1870.0,"L'Orang-outang d'Europe, ou le Polonois tel qu'il est, ouvrage methodique","Benkowitz, K. F.",,,,,
166,1871.0,Taureau blanc traduit de Syriaque,"Voltaire, Francois Marie Arouet",1774,Memphis,,186.0,9.300732780762538e-17
167,1872.0,Les Moeurs,"Toussaint, Francois Vincent",1763,Amsterdam,,,
168,1873.0,"Le Temple du bonheur, ou Recueil des plus excellents traites sur le bonheur extrait des meilleurs auteurs","Dreux du Radier, Jean-Francois",1770,Bouillon,,,
169,1874.0,Oeuvres d'Helvetius,"Helvétius, Claude Adrien",,,,,
170,1875.0,De l'esprit,"Helvetius, Claude Adrien",1769,Paris,,,
171,1876.0,"De l'homme, de ses facultes intellectuelles et de son education, ouvrage posthume de M. Helvetius","Helvetius, Claude Adrien",1776,,,,
172,1877.0,La Bible enfin expliquee par plusieurs aumoniers,"Voltaire, Francois Marie Arouet",1777,London,,187.0,0.870516836643219
173,1878.0,"Systeme social, ou Principes naturels de la morale et de la politique avec un examen de l'influence du gouvernement sur les moeurs","Holbach, Paul Henri Thiry [baron d']",1773,London,,188.0,0.7097417116165161
174,1879.0,"Systeme social, ou Principes naturels de la morale et de la politique avec un examen de l'influence du gouvernement sur les moeurs","Holbach, Paul Henri Thiry [baron d']",,,,188.0,0.7097417116165161
175,1880.0,"Systeme de la nature, ou des Lois du monde physique","Holbach, Paul Henri Thiry [baron d']",1770,London,,,
176,1881.0,Suite de la Correspondance secrete et familiere,"Pidansat de Mairobert, Mathieu Francois",1773,,,,
177,1882.0,Oeuvres diverses de M. Abauzit contenant son histoire critique et de theologie,"Abauzit, Firmin",,,,,
178,1883.0,"Le Christianisme devoile, ou examen des principes et des effets de la religion chretienne","Holbach, Paul Henri Thiry [baron d']",1775,,,185.0,1.876014534690773e-12
179,1884.0,Oeuvres philosophiques de M. de La Mettrie et de Boulanger,,,,,,
180,1885.0,"Du monde, de son origine et de son antiquite","Bernard, Jean-Frédéric",,,,,
181,1886.0,Recherches sur l'origine et le despotisme oriental,"Boulanger, Nicolas Antoine",1779,,,,
182,1887.0,Oeuvres completes de Boulanger,"Boulanger, Nicolas Antoine",1775,,,,
183,1888.0,Sur la legislation et le commerce des grains,"Necker, Jacques",,,,,
184,1889.0,"Suite des vues et des desirs d'un citoyen, ou Moyen de soulager le peuple [de lui procurer les secours dont il a besoin, et de le mettre en etat de supporter le poids des impots]",,1777,London,,,
185,1890.0,"Discours sur cette question, Quels sont les moyens de perfectionner les jeunes demoiselles","Dumas, Jean-Baptiste",1783,Neuchatel,,189.0,5.6205448345281184e-05
186,1891.0,"Supplement a l'Espion anglois, ou Lettres interessantes sur la retraite de M. Necker","Lanjuinais, Joseph",1781,London,,,
187,1892.0,Theatre de Voltaire,"Voltaire, Francois Marie Arouet",1781,Incomplete edition,,190.0,0.3215576708316803
188,1893.0,"De la felicite publique, ou Consideration sur le sort des hommes","Chastellux, Franc?ois-Jean [de]",1776,Bouillon,,,
189,1894.0,"Memoires de Louis XV, roi de France et de Navarre dans lesquels on donne une description de ses amours, etc.",,1777,Amsterdam,,,
190,1895.0,Anecdotes a ajouter au nombreux recueils des hypocrisies philosophiques,,1777,,,,
191,1896.0,"Requete au conseil du roi pour M. Linguet, avocat contre les arrets du parlement","Linguet, Simon-Nicolas-Henri",,Acc,,,
192,1897.0,Recueil de pieces sur l'etat des protestants en France,"Condorcet, Jean-Antoine-Nicolas de Caritat, [marquis de]",1781,London [Paris,,,
193,1898.0,"La Jurisprudence du grand conseil examinee dans les maximes du royaume, ouvrage precieux","Goetzmann, Louis-Valentin [de]",1775,Avignon,,,
194,1899.0,Arretes du mercredi 20 aout 1777 au sujet du grand conseil,,,,,,
195,1900.0,Essai sur la derniere revolution de l'ordre civil en France,"Olivier, Jean de Dieu [d']",1780,London,,,
196,1901.0,Les Fondements de la jurisprudence naturelle,"Pestel, Friedrich Wilhelm",1774,Utrecht,,,
197,1902.0,"De l'eglise du pape, de quleques points de controverse et des moyens de reunion entre toutes les eglises chretiennes","Dutens, Louis",1781,Geneva,,,
198,1903.0,"De la primaute du pape, ouvrage ou l'on se propose de demontrer que l'eveque de Rome n'est qu'une primaute de rang","Pinel, Michel",1770,London,,,
199,1904.0,Pour et contre Necker,,,,,,
200,1905.0,"Epitres, satires, contes, odes et pieces fugitives du poete philosophe","Voltaire, Francois Maris Arouet",1771,London,,192.0,0.08245415985584259
201,1906.0,Erotika biblion,"Mirabeau, Honore? Gabriel de Riqueti, [comte de]",1783,Rome,,193.0,0.0028362346347421408
202,1907.0,"La Morale evangelique, ou Discours sur le sermon de Jesus Christ sur la montagne","Bertrand, Elie",1775,Neuchatel,,,
203,1908.0,Essai sur les cometes ou l'on tache d'expliquer les phenomenes qu'offrent leurs queues avec des reflexions sur le soleil,"Oliver, Andrew",1777,Amsterdam,,,
204,1909.0,"Le Philosophe chretien, ou Lettres [a un jeune homme entrant dans le monde] sur la necessite et la verite de la religion","Sigorgne, Pierre",1776,Macon,,,
205,1910.0,"Le Bon sens, ou idees naturelles","Holbach, Paul Henri Thiry",1772,London,,,
206,1911.0,"le Balai, poeme heroi-comique en 18 chants","Dulaurens, Henri-Joseph",1776,Constantinople,,174.0,7.691056453040801e-06
207,1913.0,Histoire ecclesiastique ancienne et moderne depuis la naissance de Jesus Christ jusqu'au 18eme siecle,"Mosheim, Johann Lorenz [von]",1776,Yverdon,,,
208,1915.0,"Le Destin de l'Amerique, ou Dialogues pittoresques","Cerisier, Marie-Antoine",1780,,,,
